Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000180155	LYNX1	-	
ENSG00000180172	-	-	
ENSG00000180176	TH	DYT14; TYH; DYT5b	
ENSG00000180178	-	-	
ENSG00000180182	MED14	DRIP150; RGR1; CRSP150; CXorf4; CRSP2; TRAP170; EXLM1; CSRP	
ENSG00000180185	FAHD1	YISKL; C16orf36	
ENSG00000180189	-	-	
ENSG00000180190	TDRP	Inm01; TDRP1; TDRP2; C8orf42	
ENSG00000180198	RCC1	CHC1; SNHG3-RCC1; RCC1-I	
ENSG00000180205	WFDC9	dJ688G8.2; WAP9	
ENSG00000180209	MYLPF	MLC2B; HUMMLC2B; MYL11; DA1C; MRLC2	
ENSG00000180210	F2	THPH1; PT; RPRGL2	
ENSG00000180211	-	-	
ENSG00000180219	FAM71C	-	
ENSG00000180221	-	-	
ENSG00000180228	PRKRA	DYT16; HSD14; RAX; PACT	
ENSG00000180229	HERC2P3	D15F37S4	
ENSG00000180230	-	-	
ENSG00000180233	ZNRF2	RNF202	
ENSG00000180245	RRH	-	
ENSG00000180251	SLC9A4	NHE4	
ENSG00000180257	ZNF816	ZNF816A	
ENSG00000180259	PRNT	M8	
ENSG00000180263	FGD6	ZFYVE24	
ENSG00000180264	ADGRD2	GPR144; PGR24	
ENSG00000180269	GPR139	GPRg1; PGR3	
ENSG00000180279	LINC01869	-	
ENSG00000180284	-	-	
ENSG00000180287	PLD5	PLDC	
ENSG00000180304	OAZ2	AZ2	
ENSG00000180305	WFDC10A	dJ688G8.3; WAP10; C20orf146	
ENSG00000180316	PNPLA1	dJ50J22.1; ARCI10	
ENSG00000180318	ALX1	FND3; HEL23; CART1	
ENSG00000180329	CCDC43	-	
ENSG00000180332	KCTD4	bA321C24.3	
ENSG00000180336	MEIOC	C17orf104	
ENSG00000180340	FZD2	hFz2; Fz2; fz-2; OMOD2; fzE2	
ENSG00000180344	-	-	
ENSG00000180346	TIGD2	HEL106	
ENSG00000180347	ITPRID1	CCDC129	
ENSG00000180353	HCLS1	lckBP1; p75; CTTNL; HS1	
ENSG00000180354	MTURN	C7orf41; Ells1	
ENSG00000180357	ZNF609	-	
ENSG00000180370	PAK2	PAK65; PAKgamma	
ENSG00000180376	CCDC66	-	
ENSG00000180383	DEFB124	DEFB-24	
ENSG00000180385	-	-	
ENSG00000180386	KRTAP9-7	KAP9.7; KRTAP9L1	
ENSG00000180389	-	-	
ENSG00000180398	MCFD2	F5F8D; LMAN1IP; SDNSF; F5F8D2	
ENSG00000180409	-	-	
ENSG00000180422	LINC00304	NCRNA00304; C16orf81	
ENSG00000180423	HARBI1	C11orf77	
