Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000269345	-	-	
ENSG00000269349	-	-	
ENSG00000269350	-	-	
ENSG00000269352	-	-	
ENSG00000269353	-	-	
ENSG00000269354	-	-	
ENSG00000269356	-	-	
ENSG00000269358	-	-	
ENSG00000269360	-	-	
ENSG00000269363	-	-	
ENSG00000269364	LINC01233	XLOC_013014	
ENSG00000269365	-	-	
ENSG00000269367	-	-	
ENSG00000269371	-	-	
ENSG00000269372	-	-	
ENSG00000269373	-	-	
ENSG00000269374	-	-	
ENSG00000269375	-	-	
ENSG00000269376	-	-	
ENSG00000269378	-	-	
ENSG00000269383	-	-	
ENSG00000269385	-	-	
ENSG00000269386	RAB11B-AS1	MIR4999HG	
ENSG00000269387	-	-	
ENSG00000269388	-	-	
ENSG00000269391	-	-	
ENSG00000269392	-	-	
ENSG00000269393	-	-	
ENSG00000269396	-	-	
ENSG00000269397	-	-	
ENSG00000269399	-	-	
ENSG00000269400	-	-	
ENSG00000269402	-	-	
ENSG00000269403	-	-	
ENSG00000269404	SPIB	SPI-B	
ENSG00000269407	-	-	
ENSG00000269408	-	-	
ENSG00000269410	-	-	
ENSG00000269415	-	-	
ENSG00000269416	LINC01224	-	
ENSG00000269417	-	-	
ENSG00000269419	-	-	
ENSG00000269420	PLA2G4C-AS1	-	
ENSG00000269421	-	-	
ENSG00000269422	-	-	
ENSG00000269423	-	-	
ENSG00000269425	-	-	
ENSG00000269427	-	-	
ENSG00000269430	-	-	
ENSG00000269431	-	-	
ENSG00000269439	PGLS-DT	-	
ENSG00000269444	-	-	
ENSG00000269445	-	-	
ENSG00000269446	-	-	
ENSG00000269449	-	-	
ENSG00000269458	-	-	
ENSG00000269460	-	-	
ENSG00000269463	-	-	
ENSG00000269464	-	-	
ENSG00000269466	H3Y1	H3.Y.1; H3.Y	
ENSG00000269468	-	-	
ENSG00000269469	-	-	
ENSG00000269471	-	-	
ENSG00000269473	-	-	
ENSG00000269474	-	-	
ENSG00000269476	-	-	
ENSG00000269480	-	-	
ENSG00000269481	-	-	
ENSG00000269482	-	-	
ENSG00000269483	-	-	
ENSG00000269486	-	-	
ENSG00000269487	-	-	
ENSG00000269489	-	-	
ENSG00000269490	-	-	
ENSG00000269494	-	-	
ENSG00000269495	-	-	
ENSG00000269496	-	-	
ENSG00000269501	-	-	
ENSG00000269504	-	-	
ENSG00000269505	-	-	
ENSG00000269506	-	-	
