Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000203257	-	-	
ENSG00000203258	-	-	
ENSG00000203260	-	-	
ENSG00000203262	-	-	
ENSG00000203266	-	-	
ENSG00000203268	-	-	
ENSG00000203276	-	-	
ENSG00000203279	-	-	
ENSG00000203280	KIAA1671-AS1	-	
ENSG00000203281	-	-	
ENSG00000203284	-	-	
ENSG00000203285	-	-	
ENSG00000203286	-	-	
ENSG00000203288	TDRKH-AS1	-	
ENSG00000203301	-	-	
ENSG00000203305	-	-	
ENSG00000203306	-	-	
ENSG00000203307	-	-	
ENSG00000203314	-	-	
ENSG00000203315	-	-	
ENSG00000203316	-	-	
ENSG00000203317	-	-	
ENSG00000203318	-	-	
ENSG00000203321	-	-	
ENSG00000203325	-	-	
ENSG00000203326	ZNF525	-	
ENSG00000203327	-	-	
ENSG00000203334	-	-	
ENSG00000203335	-	-	
ENSG00000203343	-	-	
ENSG00000203344	-	-	
ENSG00000203346	-	-	
ENSG00000203356	LINC01562	-	
ENSG00000203362	-	-	
ENSG00000203363	-	-	
ENSG00000203364	-	-	
ENSG00000203372	-	-	
ENSG00000203377	-	-	
ENSG00000203384	-	-	
ENSG00000203386	-	-	
ENSG00000203387	-	-	
ENSG00000203392	-	-	
ENSG00000203394	-	-	
ENSG00000203395	-	-	
ENSG00000203396	-	-	
ENSG00000203397	-	-	
ENSG00000203400	-	-	
ENSG00000203401	-	-	
ENSG00000203402	-	-	
ENSG00000203403	-	-	
ENSG00000203408	-	-	
ENSG00000203411	-	-	
ENSG00000203413	-	-	
ENSG00000203414	-	-	
ENSG00000203415	-	-	
ENSG00000203416	-	-	
ENSG00000203418	-	-	
ENSG00000203421	-	-	
ENSG00000203422	-	-	
ENSG00000203423	-	-	
ENSG00000203424	-	-	
ENSG00000203425	-	-	
ENSG00000203426	-	-	
ENSG00000203427	-	-	
ENSG00000203428	-	-	
ENSG00000203430	-	-	
ENSG00000203431	-	-	
ENSG00000203432	-	-	
ENSG00000203433	-	-	
ENSG00000203434	-	-	
ENSG00000203435	-	-	
ENSG00000203436	-	-	
ENSG00000203437	-	-	
ENSG00000203438	-	-	
ENSG00000203441	LINC00449	-	
ENSG00000203442	-	-	
ENSG00000203443	-	-	
ENSG00000203446	-	-	
ENSG00000203457	-	-	
ENSG00000203462	-	-	
ENSG00000203465	-	-	
ENSG00000203469	-	-	
ENSG00000203471	-	-	
ENSG00000203472	-	-	
ENSG00000203473	-	-	
ENSG00000203477	-	-	
ENSG00000203478	-	-	
ENSG00000203479	-	-	
ENSG00000203480	-	-	
ENSG00000203482	-	-	
ENSG00000203483	-	-	
ENSG00000203484	-	-	
ENSG00000203485	INF2	CMTDIE; pp9484; FSGS5; C14orf151; C14orf173	
ENSG00000203489	-	-	
ENSG00000203492	-	-	
ENSG00000203496	-	-	
ENSG00000203497	-	-	
ENSG00000203498	-	-	
ENSG00000203499	IQANK1	FAM83H-AS1; onco-lncRNA-3; FAM83HAS1	
ENSG00000203504	-	-	
ENSG00000203505	-	-	
ENSG00000203506	-	-	
ENSG00000203507	-	-	
ENSG00000203511	-	-	
ENSG00000203512	-	-	
ENSG00000203513	-	-	
ENSG00000203518	-	-	
ENSG00000203520	-	-	
ENSG00000203523	-	-	
ENSG00000203527	SCUBE1-AS1	-	
ENSG00000203531	-	-	
ENSG00000203542	-	-	
ENSG00000203543	-	-	
ENSG00000203546	-	-	
