Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000260994	-	-	
ENSG00000260995	LOC101927450	-	
ENSG00000260996	-	-	
ENSG00000260997	-	-	
ENSG00000260999	-	-	
ENSG00000261000	-	-	
ENSG00000261002	-	-	
ENSG00000261003	-	-	
ENSG00000261005	-	-	
ENSG00000261007	-	-	
ENSG00000261008	LINC01572	-	
ENSG00000261009	-	-	
ENSG00000261010	-	-	
ENSG00000261011	-	-	
ENSG00000261012	-	-	
ENSG00000261013	-	-	
ENSG00000261014	LINC02165	-	
ENSG00000261015	-	-	
ENSG00000261017	-	-	
ENSG00000261018	-	-	
ENSG00000261019	-	-	
ENSG00000261020	-	-	
ENSG00000261024	GS1-279B7.1	-	
ENSG00000261025	-	-	
ENSG00000261026	-	-	
ENSG00000261028	-	-	
ENSG00000261029	-	-	
ENSG00000261030	-	-	
ENSG00000261033	-	-	
ENSG00000261035	-	-	
ENSG00000261036	-	-	
ENSG00000261037	-	-	
ENSG00000261038	-	-	
ENSG00000261039	-	-	
ENSG00000261040	-	-	
ENSG00000261041	-	-	
ENSG00000261043	-	-	
ENSG00000261044	-	-	
ENSG00000261045	-	-	
ENSG00000261046	-	-	
ENSG00000261047	-	-	
ENSG00000261048	-	-	
ENSG00000261049	-	-	
ENSG00000261051	-	-	
ENSG00000261052	SULT1A3	HAST3; ST1A3; ST1A3/ST1A4; ST1A5; STM; ST1A4; TL-PST; HAST; M-PST	
ENSG00000261053	-	-	
ENSG00000261054	-	-	
ENSG00000261055	-	-	
ENSG00000261056	-	-	
ENSG00000261057	-	-	
ENSG00000261058	-	-	
ENSG00000261060	-	-	
ENSG00000261061	-	-	
ENSG00000261063	-	-	
ENSG00000261064	-	-	
ENSG00000261065	-	-	
ENSG00000261066	-	-	
ENSG00000261067	-	-	
ENSG00000261068	-	-	
ENSG00000261069	-	-	
ENSG00000261070	LOC338694	-	
ENSG00000261071	-	-	
ENSG00000261072	-	-	
ENSG00000261075	LINC01195	-	
ENSG00000261076	-	-	
ENSG00000261077	-	-	
ENSG00000261078	-	-	
ENSG00000261079	-	-	
ENSG00000261080	-	-	
ENSG00000261081	-	-	
ENSG00000261082	-	-	
ENSG00000261083	LINC02516	-	
ENSG00000261084	-	-	
ENSG00000261086	-	-	
ENSG00000261087	-	-	
ENSG00000261088	-	-	
ENSG00000261089	-	-	
ENSG00000261090	LOC112268176	-	
ENSG00000261092	LINC02178	-	
ENSG00000261093	-	-	
ENSG00000261094	-	-	
ENSG00000261095	LOC101928708	-	
ENSG00000261096	-	-	
ENSG00000261097	LINC00563	-	
ENSG00000261098	-	-	
ENSG00000261101	-	-	
ENSG00000261102	-	-	
ENSG00000261103	-	-	
ENSG00000261104	-	-	
ENSG00000261105	LMO7-AS1	UCHL3-AS1	
ENSG00000261108	-	-	
ENSG00000261111	-	-	
ENSG00000261113	-	-	
ENSG00000261114	-	-	
ENSG00000261115	TMEM178B	-	
ENSG00000261116	-	-	
ENSG00000261117	-	-	
ENSG00000261118	-	-	
ENSG00000261120	-	-	
ENSG00000261121	LINC02473	-	
ENSG00000261122	LINC02167	-	
ENSG00000261123	-	-	
ENSG00000261124	-	-	
ENSG00000261126	-	-	
ENSG00000261127	-	-	
ENSG00000261129	-	-	
ENSG00000261130	MPV17L	MPV17L1; MLPH2; MLPH1; M-LPH	
ENSG00000261131	-	-	
ENSG00000261135	-	-	
ENSG00000261136	-	-	
ENSG00000261139	-	-	
ENSG00000261140	-	-	
ENSG00000261141	-	-	
ENSG00000261143	-	-	
ENSG00000261144	-	-	
ENSG00000261145	-	-	
ENSG00000261146	-	-	
ENSG00000261147	-	-	
ENSG00000261151	-	-	
ENSG00000261153	-	-	
ENSG00000261154	-	-	
ENSG00000261156	LINC01989	-	
ENSG00000261158	-	-	
ENSG00000261159	-	-	
ENSG00000261161	-	-	
ENSG00000261166	-	-	
ENSG00000261167	-	-	
ENSG00000261168	-	-	
ENSG00000261170	LOC107984827	-	
ENSG00000261171	-	-	
ENSG00000261172	-	-	
ENSG00000261173	-	-	
ENSG00000261174	-	-	
ENSG00000261175	-	-	
ENSG00000261176	-	-	
ENSG00000261177	-	-	
ENSG00000261178	-	-	
ENSG00000261181	-	-	
ENSG00000261182	-	-	
ENSG00000261183	-	-	
ENSG00000261184	LOC101928618	-	
ENSG00000261185	-	-	
ENSG00000261186	LINC01238	-	
ENSG00000261187	-	-	
ENSG00000261188	-	-	
ENSG00000261189	-	-	
ENSG00000261190	-	-	
ENSG00000261191	-	-	
ENSG00000261192	RNF126P1	-	
ENSG00000261193	-	-	
ENSG00000261194	-	-	
ENSG00000261195	-	-	
ENSG00000261196	-	-	
ENSG00000261197	-	-	
ENSG00000261198	-	-	
ENSG00000261199	-	-	
ENSG00000261200	-	-	
ENSG00000261202	TNRC6B-DT	-	
ENSG00000261203	-	-	
ENSG00000261204	-	-	
ENSG00000261205	-	-	
ENSG00000261206	LINC00561	-	
ENSG00000261207	-	-	
ENSG00000261208	-	-	
ENSG00000261209	-	-	
ENSG00000261210	CLEC19A	-	
ENSG00000261211	-	-	
ENSG00000261212	-	-	
ENSG00000261213	-	-	
ENSG00000261215	-	-	
ENSG00000261216	-	-	
ENSG00000261217	-	-	
ENSG00000261218	-	-	
ENSG00000261219	-	-	
ENSG00000261220	-	-	
ENSG00000261221	ZNF865	-	
ENSG00000261222	-	-	
ENSG00000261226	-	-	
ENSG00000261227	-	-	
ENSG00000261229	-	-	
ENSG00000261231	LINC02133	-	
ENSG00000261232	-	-	
ENSG00000261233	-	-	
ENSG00000261234	-	-	
ENSG00000261235	-	-	
ENSG00000261238	-	-	
