Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000119820	YIPF4	FinGER4; Nbla11189	
ENSG00000119844	AFTPH	Nbla10388	
ENSG00000119862	LGALSL	GRP; HSPC159	
ENSG00000119865	CNRIP1	CRIP1; C2orf32; CRIP-1	
ENSG00000119866	BCL11A	BCL11A-L; BCL11A-S; DILOS; HBFQTL5; BCL11a-M; BCL11A-XL; CTIP1; ZNF856; EVI9	
ENSG00000119878	CRIPT	SSMDF; HSPC139	
ENSG00000119888	EPCAM	EGP314; EGP40; ESA; MK-1; TACSTD1; EGP-2; MIC18; KS1/4; TROP1; DIAR5; HNPCC8; KSA; M4S1	
ENSG00000119899	SLC17A5	SD; SIALIN; SIASD; AST; NSD; SLD; ISSD	
ENSG00000119900	OGFRL1	dJ331H24.1	
ENSG00000119906	SLF2	FAM178A; C10orf6	
ENSG00000119912	IDE	INSULYSIN	
ENSG00000119913	TECTB	-	
ENSG00000119915	ELOVL3	CIG30; CIG-30	
ENSG00000119917	IFIT3	ISG60; CIG-49; IFI60; GARG-49; IFIT4; P60; RIG-G; IRG2; cig41	
ENSG00000119919	NKX2-3	NKX4-3; NK2.3; NKX2.3; CSX3; NKX2C	
ENSG00000119922	IFIT2	G10P2; IFIT-2; P54; cig42; IFI-54; ISG-54; GARG-39; IFI54; IFI-54K; ISG54; ISG-54K; ISG-54 K	
ENSG00000119927	GPAM	GPAT; GPAT1	
ENSG00000119929	CUTC	CGI-32	
ENSG00000119938	PPP1R3C	PPP1R5; PTG	
ENSG00000119943	PYROXD2	YUEF; FP3420; C10orf33	
ENSG00000119946	CNNM1	ACDP1; CLP-1	
ENSG00000119950	MXI1	bHLHc11; MAD2; MXI; MXD2	
ENSG00000119953	SMNDC1	SMNR; TDRD16C; SPF30	
ENSG00000119965	C10orf88	PAAT	
ENSG00000119969	HELLS	ICF4; PASG; LSH; Nbla10143; SMARCA6	
ENSG00000119973	PRLHR	GPR10; GR3; PrRPR	
