"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"B cell",0.0135119098948874,0.00939570751554851,0.0146195896208878,0.0134839806845914,0.000519561469817996,0.00128114164548246,0.00288888687089871,0.00491192327216156,0.00985928364014216,0.00930622530496624,0.0222183235376623,0.00340952541112248,0.00162457314851123,0.00141171203956507,0.00195542994600195,0.00377767317540821,0.00558944943242028,0.00246054478433987,0.00624890727701083,0.00689591398570638,4.90781367861475e-07,0.00252236500516184,0.00581944309127973,0.00812018450479767,0.0517324437959939,0.00245109442676714,0.00793153037188871,0.00521831923382884,0.00065829394858148,0.00245939674699384,0.00985120747815399,0.000963680526423932,0.00153466304802769,0.00358839203225831,0.00937870728042778,0.00164692025860951,0.0352052029359358,0.0120049564367346,0.00319193500635041,0.0402660217117816,0.0490492661535301,0.0528867715164444,0.00206002827620866,0.00154999871222548,0.0107805144912269,0.00646689413818806,0.00100624070909493,0.116718052594305,0.00116559636096069,0.0029206087790904,0.000979385815519054,0.0043252401477121,0.00204008613618805,0.0118184876829183,0.00148807579811217,0.00599226286812368,0.00871188252100689,0.00668920416925774,0.00531513842291613,0.00637040957248727,0.00329144414495763,0.007447163611337,0.0110733514991467,0.00496002793746346,0.0223240905785111,0.0017789553729486,0.0648144215879939,0.00417603711877915,0.0019132849110662,0.0058455490207088,0.000207224221877037,0.00618372536200166,0.00120495709170885,1.10941877252988e-05,4.45286952475616e-07,0.00229300193621419,0.0116568414348062,0.00187936569158081,0.000393517240477065,0.00319842249240067,0.00137985452749834,0.000836467548354437,0.0019888681357991,0.00837064276996249,0.0206162242870556,0.00948369415067811,0.0137522380204145,0.00289563700606423,0.0744445722832567,0.00487414643410574,0.00163656423603764,0.0208323055876691,0.00335246696521688,0.00422281745436294,0.158556970686692,0.0220666784607322
"T cell CD4+",0.185380942745744,0.0879518474907985,0.0550878151987694,0.0514414427136693,0.127765234339216,0.024173090817037,0.0363342634251775,0.035515109872435,0.125183068544078,0.0950856857951136,0.0633619278055822,0.0445177195011293,0.0464155685128831,0.0452897180378916,0.0652535133993135,0.0462187282047921,0.0555692306318359,0.0352777879948697,0.0403761598429321,0.0721592816665833,0.0457643882466954,0.0566376442331977,0.0667784819577131,0.0545846501940574,0.0991597787597993,0.0297676224563622,0.0821419889733259,0.0432571040963967,0.011411357625569,0.0455299558247672,0.0430079800060151,0.0173723672552318,0.0440061624441751,0.0596058036967696,0.0799195574627942,0.0687817307258828,0.0576953860790105,0.0767947149542293,0.0242335018522066,0.032649675973677,0.0246028398399638,0.0387988592189801,0.0477036096612444,0.0479412672811299,0.02280393102286,0.0234215011459523,0.0446260417652799,0.062509909669991,0.0334902957317625,0.0201652762326811,0.0328504591682735,0.0942380284146016,0.0335185475527883,0.0867532573707856,0.0414591307879636,0.071005770820224,0.0642137880324345,0.0591509080163839,0.103818544929595,0.0300059116613741,0.0519600450749655,0.0540631196258522,0.0314478417486187,0.0403295128751755,0.0577542118635336,0.0654469929433675,0.0902340092279552,0.0791765154662194,0.076891422283133,0.0359407784229053,0.0247254165244842,0.046988004405969,0.0855117770174514,0.0532322607425517,0.0132284353223845,0.0420047039267963,0.0292857752798685,0.0447836418335037,0.0465059290533733,0.0387405027966713,0.0608120320099855,0.00861789970842335,0.038431670133216,0.03238426491211,0.0473184059475093,0.0781287250143991,0.0692137784691579,0.0626040585486323,0.105642890794148,0.0974397015058285,0.0653398139431034,0.0716904747090905,0.0442281300166968,0.0225214552578473,0.131735545822849,0.0553889084540629
"T cell CD8+",0.0332983007978807,0.0152277369775389,0.0255601851565726,0.0258670900326111,0.0355994255339547,2.70297113513947e-08,0.0201199245498043,0.0482862270645412,0.0433937922682301,0.0389802853691031,0.0311116015283088,5.16445298570898e-07,0.0254092959492561,0.0256328730452101,0.0168929764202182,0.0236557490471808,0.00494530391615549,0.0424583982156164,0.027732868885858,0.0122561551073671,0.0251135116726841,0.0165676681598586,0.0243044480617701,0.0451512662526265,0.0114421865412087,0.0182542162573667,0.0315152060894598,0.0218069845545419,4.30343462948639e-07,0.018929529952357,0.0333724040526635,0.011026576545843,0.0176787734613415,0.0264641192858057,0.0333230272529174,0.0214188932708428,0.0467162209157169,0.0159931939365239,0.020932100605129,0.0225079200479938,0.0316243465858293,0.0402180543732928,0.0199890239439657,0.0117009456994231,0.0294341334492329,0.0226014858236998,0.0245120895375122,0.0729108318948264,0.0237799517411823,0.0141381139930319,0.00440587769775136,0.0296256055051946,0.00158980024195863,0.0286680549494572,0.0401656123815297,0.000521696921015617,0.0160613710207886,0.0269103335305082,0.0322330265232798,0.0138876993312862,0.0232998755921006,0.0143912668729228,0.0318462616687064,0.017802520854164,0.0206441377890013,0.0254775520356711,0.0238428888575785,0.0365642103762361,0.0102019400425391,0.0168491510066537,0.0311742304404131,0.019338477339848,0.0292958372732133,0.0109756687395729,0.0740780017012802,0.0116245013468946,0.0446492369390275,0.00617774329975435,0.0200241532932642,0.0161434189834538,0.0192863614761011,0.0108047583084529,0.0825413850342227,0.00399611497078096,0.0499424006278012,0.0470519473787009,0.00333508675361398,0.0205531856034348,0.0275906986287025,0.00104547268794534,0.0151360067353184,0.0515508541329197,0.0146694006960156,0.0137121544354196,0.0233887513080693,0.0254959498592437
"T cell",0.218679243543625,0.103179584468337,0.080648000355342,0.0773085327462804,0.163364659873171,0.0241731178467483,0.0564541879749818,0.0838013369369762,0.168576860812308,0.134065971164217,0.094473529333891,0.0445182359464279,0.0718248644621392,0.0709225910831017,0.0821464898195317,0.0698744772519729,0.0605145345479914,0.0777361862104861,0.0681090287287901,0.0844154367739504,0.0708778999193795,0.0732053123930563,0.0910829300194832,0.0997359164466839,0.110601965301008,0.0480218387137289,0.113657195062786,0.0650640886509386,0.0114117879690319,0.0644594857771242,0.0763803840586786,0.0283989438010748,0.0616849359055166,0.0860699229825753,0.113242584715712,0.0902006239967256,0.104411606994727,0.0927879088907532,0.0451656024573356,0.0551575960216708,0.0562271864257931,0.0790169135922729,0.0676926336052101,0.059642212980553,0.0522380644720929,0.0460229869696521,0.0691381313027921,0.135420741564817,0.0572702474729448,0.034303390225713,0.0372563368660249,0.123863633919796,0.0351083477947469,0.115421312320243,0.0816247431694933,0.0715274677412396,0.0802751590532231,0.0860612415468921,0.136051571452875,0.0438936109926603,0.0752599206670661,0.068454386498775,0.0632941034173251,0.0581320337293395,0.0783983496525349,0.0909245449790386,0.114076898085534,0.115740725842455,0.0870933623256721,0.052789929429559,0.0558996469648973,0.066326481745817,0.114807614290665,0.0642079294821246,0.0873064370236647,0.0536292052736909,0.073935012218896,0.0509613851332581,0.0665300823466375,0.0548839217801251,0.0800983934860866,0.0194226580168762,0.120973055167439,0.036380379882891,0.0972608065753105,0.1251806723931,0.0725488652227719,0.0831572441520671,0.13323358942285,0.0984851741937738,0.0804758206784218,0.12324132884201,0.0588975307127124,0.0362336096932669,0.155124297130918,0.0808848583133066
"NK cell",1.09876309131831e-08,1.80073141920533e-09,0.00288829939183307,0.00384672484786931,8.5623152131097e-12,0.000300469825478434,3.31267632912446e-08,0.000176228724865259,5.29712975031562e-10,0.00211122269752923,0.000496728031130956,0.0040306877969352,9.34294544948433e-10,0.000467230268945077,5.16251507194819e-10,1.57904097992222e-09,4.49261663348895e-09,1.86329231618238e-08,4.24952239207609e-07,0.00436231749582363,5.39821041236034e-08,2.00033394528112e-09,0.000275691830664581,1.47437128515013e-08,0.00236127969243336,7.84768927293262e-09,0.0120889607056956,0.000297774222209784,0.000139642773846921,7.99230795173832e-10,0.000102633574085621,9.13361690706236e-10,5.92507403914488e-10,4.22038351287581e-09,0.00207175150712493,8.60929701427365e-10,0.00586399498357518,4.21221821778723e-10,6.68831107685899e-08,0.00195154245463274,1.83271548903981e-07,2.48495160847323e-09,0.000333371219049176,1.2621932726442e-08,1.58137071983312e-08,0.000131768819858308,0.000362775396468186,0.00419720631981316,1.72307986079972e-08,2.4043874387237e-09,0.00114125828378814,1.37106712830847e-09,8.06099745529951e-07,4.9751672256323e-07,9.27674309287931e-08,1.1073651655347e-07,1.68082000263946e-09,6.96947622015014e-08,7.977808159438e-09,4.52046199629737e-05,0.00870353092825771,0.00100317075679307,0.000354352487739467,1.65527602417351e-09,5.44174537146871e-09,4.01141778032188e-08,3.04382424991915e-09,2.69579528478909e-11,3.48642563923584e-08,2.67457678306028e-05,0.000235810893099369,3.56545886400107e-08,3.03757046669486e-10,6.33933571739225e-07,0.00087135457722347,5.16654209186489e-10,1.55038558356612e-08,3.6945866080786e-09,3.71732160998327e-08,3.81113801113425e-09,2.95787767055993e-09,0.00116047358449541,1.58250440874234e-08,2.1823425309692e-08,0.00546357237521142,5.54034969357582e-08,0.00204219803288178,8.32950712300187e-11,1.85718626638278e-09,0.00276499294030861,8.28209368538657e-09,2.99224578969574e-08,4.23871461850713e-10,4.10478639741867e-10,3.85862692105415e-08,2.94597104340578e-07
"Macrophage",0.0220181740760843,0.00523444062715911,0.0138963437871989,0.0298255057070021,0.00404010102778428,0.0242055861343578,0.0118902149364088,0.0121282751083983,0.0100542934862361,0.00684720868392212,0.008230283948814,0.0998944537294451,0.00835271294673547,0.00984354057024036,0.0019535232770182,0.00409760985712497,0.017527743723238,0.0197191515373483,0.0102817387347908,0.0185461677060828,0.00875734180366259,0.00742270472552285,0.00481703632126163,0.0208284206208194,0.0307865486740186,0.0146251721060182,0.0150254803885207,0.010851024112335,0.0160381160350825,0.0032820286612017,0.00757191409815361,0.012317562471446,0.00396949226935991,0.00440236886505851,0.0818034384384069,0.00571817855906432,0.0222929397835816,0.0101833616276184,0.0148011912986432,0.035116191614631,0.0150946058378698,0.0111136075098629,0.00795332921752783,0.0110297678129618,0.0146488867192465,0.0074742504844449,0.0461533744093405,0.0211062207458222,0.0103464531319116,0.00581127318052204,0.0177468953232088,0.0147110907756322,0.00863725080470885,0.0194416121617328,0.00898045948835471,0.010400224814799,0.00257741980223282,0.0167919604346126,0.00443474577032361,0.00654929097278656,0.00986151460618131,0.00563556779762419,0.02323795565974,0.0140901990797592,0.0179138203484756,0.0280140712559636,0.0139395002024312,0.0130112316016114,0.0101361303027279,0.0187127406654385,0.0546006290397377,0.00728988784130391,0.00907972984752009,0.00618317343102268,0.00427623956091877,0.00648741698643846,0.0140953645624146,0.00589451551346836,0.0106143261096282,0.0115760433662953,0.00786838719409866,0.0152504975310022,0.0207089613019848,0.00430750513712076,0.015348850792483,0.028852323613273,0.0164994770708057,0.00529352341968535,0.00785570643101727,0.0417309608322291,0.0126884349276309,0.0201168185203544,0.00061428406064771,0.00392895055977176,0.0217515623730645,0.022441831610241
"Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myeloid dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
