"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"B cell",3.09971288490087e-06,0.00166704366602309,0.0130727676374489,9.40798104903422e-05,0.00427268271707332,0.000679565088048697,0.000513556954842353,0.000580629761327815,0.00461079269806953,0.00269321350927321,0.00781699885395023,5.28539903013389e-06,0.00050581244423146,0.000867683966190642,0.0051676071080959,0.002561895308374,0.00198505875780702,4.38111482945113e-05,0.00219868315281135,0.0224833922019748,0.00144830167162376,0.00742005594290968,0.0357823529124534,0.00731059229934539,0.00217678885733641,0.000639108273573939,0.00406515773276167,0.0038602665271896,0.000714765444273846,0.0317002736941643,0.00207831049575793,0.00219386660649768,0.0107059431988361,0.00650285055733364,0.00803656687033279,0.00186164963591616,0.000570266990309273,0.0475385874611187,0.00397818889670466,0.00112536858707715,0.00300324923624166,0.00101901696390995,0.00120003238715851,0.00388548908367404,0.0160686215708477,0.0291405180233672,0.000692967627374367,0.00579162226601211,0.00065585537121019,0.000507376938824636,0.0413322610865703,0.00168025068500622,9.79732994224428e-06,0.0103539551564574,0.00764118957931769,0.0114539844734275,0.00144162782362114,0.00436250690619343,0.00680843023972525,1.61230608393142e-06,0.00536434894697938,3.38213476869885e-07,0.000628552261000836,8.40701492959697e-06,0.000748376393680564,0.0187038496223836,0.00873445685684919,0.00432203676641645,0.00100665505286978,0.00220563293984677,0.00414748368242918,0.00337335446378489,0.000569478172304485,0.00125769284571473,0.000395269168853681,0.00302433034292198,8.83376112257919e-06,0.0026163381243598,0.00360046449591822,0.000664624363742761,0.00328922266687999,0.0027826400072514,0.000344645003252965,0.00638292452690491,0.00506914782660983,0.0114253516479057
"T cell CD4+",0.0111635266762679,0.0298666024144131,0.0356919512954653,0.01279216252492,0.0346021711331244,0.0297636762200173,0.00914272104931345,0.0430891811274374,0.02394928724535,0.000173465674914638,0.011800603875684,0.0216046446767995,0.0317761966241347,0.020953188422276,0.0472930714315454,0.0326230945004938,0.0554379757966849,0.0050948753811584,0.0144304851181034,0.0410768921191077,0.013352649513129,0.0482615816508878,0.0399654282150301,0.0668275654239811,0.00487622293471281,0.0405815203898385,0.0251932687246038,0.0408639973252085,0.0201242720413688,0.0605308658856483,0.0416191997503924,0.0762638647930938,0.0711313320067355,0.0196646943973229,0.00384781125785276,0.0198441054781171,0.0288133945447596,0.111514492593045,0.0550331821598673,0.0413418187072214,0.0263589817272462,0.0271091412884574,0.0221261052130326,0.0307907020541219,0.0329598270844877,0.102338931505853,0.0132500391838809,0.021545941882948,0.024791793464467,0.0323322893536795,4.74010749032815e-06,0.0263502863676469,0.0276557938567531,0.0506714648675085,0.0367208650851917,0.00749067657656641,0.0397219321310135,0.0197148836568353,0.0303716398112844,0.0125114501729472,2.57290316254377e-05,0.0230883187053037,0.0105138805635945,0.0087594273195464,0.025990774675585,0.0489275241793583,0.0262349203200747,0.0438338925236377,0.00669454497913286,0.00797026888350959,0.0230213088111101,0.0100616073132905,0.0386179070420561,0.0356431817134529,0.00419047678398577,0.0470135602069208,0.0409113836806625,0.0427239573906265,0.0326424082769654,0.0469537308462858,0.0383629397091733,0.0221402041667016,0.0424236353057674,0.0181174953140434,0.039741344807157,0.0310002116010002
"T cell CD8+",3.35482220060703e-06,0.015873791527244,0.0166297578887162,0.0139733918512992,0.00684232944793271,0.00787302501554356,0.00654106238590532,0.052747201050184,0.0700714030647331,0.0511616008884786,5.72517578987991e-08,6.56301788327084e-06,1.16035534556906e-06,0.0142578590914888,0.00809833840110873,0.0230774728068868,0.00929520045715331,1.45477782940276e-05,0.00133136498316173,0.000644321496530247,0.00568814806302747,0.00396272137666219,0.0318167198483092,0.0100629020933214,0.0343080789876494,0.00426815690251404,0.00620363341658549,0.0347164653406164,0.0210462530464179,0.0266730551070018,0.0481763183144144,0.0258283952994454,0.0286221296272304,0.0406813658233874,0.0120991011245321,0.0521831015330925,0.0153360407248368,0.160924270153774,0.00378025155864206,0.00606654478170622,0.0222034938739552,0.00552903466648378,0.00580524848927918,0.00285330649880362,5.95064295660128e-07,0.0192067487122311,0.0157776911652265,1.81170445615507e-06,1.03272892896996e-06,0.0156081377490087,0.0787539485712478,1.75119670116389e-06,4.79141154184254e-05,4.3372788119884e-06,0.00271249492016717,0.0134199835513418,0.00380938508245971,0.000228262056892696,8.90004194711823e-06,0.000459569174633076,4.6120449641443e-05,0.0066523682504622,0.000164493111048898,5.76985436335457e-06,1.27353047818781e-05,0.0288288993226968,0.00645721180418774,0.0213648726776341,6.42095830322044e-08,7.96118924121284e-07,0.00863422503885579,0.0143367237167313,4.58580493142962e-05,0.000680819189587143,0.01875161142786,0.00494320975157611,1.32209921124532e-05,0.014691925988101,0.0125236327578057,0.00510314045333834,0.00788178630604772,0.00483909188634175,3.53009196361364e-06,0.0061051410608665,0.00187099616506545,0.0365086660884332
"T cell",0.0111668814984685,0.0457403939416571,0.0523217091841815,0.0267655543762192,0.0414445005810571,0.0376367012355609,0.0156837834352188,0.0958363821776214,0.0940206903100831,0.0513350665633932,0.0118006611274419,0.0216112076946828,0.0317773569794803,0.0352110475137648,0.0553914098326541,0.0557005673073806,0.0647331762538382,0.00510942315945243,0.0157618501012651,0.0417212136156379,0.0190407975761565,0.05222430302755,0.0717821480633393,0.0768904675173025,0.0391843019223622,0.0448496772923525,0.0313969021411893,0.0755804626658249,0.0411705250877867,0.0872039209926501,0.0897955180648068,0.102092260092539,0.0997534616339659,0.0603460602207103,0.0159469123823849,0.0720272070112096,0.0441494352695964,0.272438762746819,0.0588134337185094,0.0474083634889276,0.0485624756012014,0.0326381759549412,0.0279313537023118,0.0336440085529255,0.0329604221487834,0.121545680218084,0.0290277303491074,0.0215477535874042,0.024792826193396,0.0479404271026882,0.0787586886787381,0.0263520375643481,0.0277037079721715,0.0506758021463205,0.0394333600053589,0.0209106601279082,0.0435313172134732,0.019943145713728,0.0303805398532315,0.0129710193475803,7.18494812668807e-05,0.0297406869557659,0.0106783736746434,0.00876519717390976,0.0260035099803669,0.0777564235020551,0.0326921321242624,0.0651987652012718,0.00669460918871589,0.00797106500243371,0.0316555338499659,0.0243983310300218,0.0386637650913704,0.03632400090304,0.0229420882118458,0.0519567699584969,0.040924604672775,0.0574158833787275,0.0451660410347711,0.0520568712996241,0.046244726015221,0.0269792960530434,0.042427165397731,0.0242226363749099,0.0416123409722224,0.0675088776894334
"NK cell",1.65585149236915e-06,5.56120253389916e-10,2.90640311811004e-09,0.00317993373481159,0.000125824978062308,2.52056404496701e-07,1.80306279007223e-07,5.92357747724113e-10,6.1412628501636e-08,6.33992988571156e-07,0.000174151032488052,0.000137984456134471,2.9833757279108e-09,1.96033380955497e-08,2.22590218503602e-10,1.39766687212125e-08,5.49039364788414e-10,0.000130213164263162,7.55896059910669e-09,2.96233894191287e-08,2.59381936028094e-08,5.52064341892893e-08,5.88383922697598e-08,4.11328835122226e-08,3.40527524645673e-08,4.97295257225186e-09,1.25766371075404e-06,0.00260206436586485,5.05184226611831e-09,3.28468953560045e-10,4.46036343915027e-09,2.84900235886238e-09,1.56850235440912e-08,0.000489156519752177,0.00162640497493074,5.4704692598712e-10,5.03550928669883e-09,0.00062882636496984,9.5043396264629e-08,3.98741382400811e-08,1.11816373494046e-07,6.65603002190748e-08,1.21452056063699e-07,1.64749947572459e-08,8.54183311753454e-08,3.48612446830929e-09,3.72245455478842e-10,1.9573077017705e-07,5.11818458339454e-07,5.06183190286012e-11,2.77650613066827e-08,3.61145512310584e-06,1.05243147553129e-07,7.93576375332483e-07,7.11757790143384e-05,0.000436971121649532,2.75611060724237e-09,2.22283870768801e-06,2.69003930739598e-07,0.00038530786875234,0.000531457051240409,3.35865422999569e-08,4.89059362915749e-07,2.65918134749721e-05,6.41262365909184e-07,3.08521058499019e-08,2.10832632229988e-09,8.38768295494911e-08,2.22305427662092e-05,0.000197739956703785,9.32511478463465e-09,1.17303656337642e-10,8.38421896627609e-08,1.06656961442734e-06,6.67463492356266e-08,3.00781468352619e-08,6.18130486012068e-07,2.17860581900904e-09,0.000375123337091391,8.72197225597331e-08,2.32440550621555e-09,1.15583601973463e-09,8.46008141897969e-07,1.06343911503126e-07,2.7434270164127e-08,7.50719917425938e-07
"Macrophage",0.000596331895476666,0.00214975395712055,0.00285038341671028,0.0232460683084312,0.0222825828646683,0.00883771908555173,0.00742034219920345,0.0171074163114191,0.0117059084304733,0.0217354923189161,0.0116936054042505,0.0100696510574356,0.0223888804179213,0.00543036050858579,0.0103213334572621,0.012486534754198,0.0091361242763657,0.00439322836638645,0.00163395590616493,0.0160737367616106,0.00581820675509691,0.00315253133929538,0.0571006228002137,0.00605390904940529,0.00630469868916891,0.00291279681859864,0.0139087807861981,0.0246292838894311,0.00768011246963731,0.00613713343090081,0.00729731014139551,0.00431289441555516,0.020060349739259,0.0206420704940092,0.120595496007692,0.00585774690064184,0.0303719341785705,0.030752326568029,0.00727446035191842,0.0120734544357877,0.0072909646510563,0.00596326248817175,0.00746517294926481,0.00528619871418264,0.0253563442700521,0.0180077259055049,0.00397688733588627,0.00920231442477768,0.0079364508568782,0.00560186657090158,0.0209550654319176,0.00452376766985384,0.00490559550775815,0.00774171148463635,0.0210824242707549,0.0143591645803393,0.00933004721512634,0.00757728992513759,0.0102213701396891,0.00596420987761994,0.0200914091235321,0.00806737502879295,0.0131095598281887,0.0108786462999907,0.00159943192270625,0.00995313374206067,0.0138708901491741,0.0113240516340675,0.057495800401407,0.0132507248269141,0.00759704986055742,0.00406671051527461,0.0025764944515408,0.00642647380423724,0.000532228171658393,0.00752953996377992,0.00923887859999741,0.00521704442228709,0.0119886270228897,0.0104832281990222,0.00444712568129185,0.00828762729163905,0.010054349963753,0.00755725281818502,0.0252489624929131,0.0172882109798441
"Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myeloid dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
