"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"B cell",0.0135119098948874,0.00939570751554851,0.0146195896208878,0.0134839806845914,0.000519561469817996,0.00128114164548246,0.00288888687089871,0.00491192327216156,0.00985928364014216,0.00930622530496624,0.0222183235376623,0.00340952541112248,0.00162457314851123,0.00141171203956507,0.00195542994600195,0.00377767317540821,0.00558944943242028,0.00246054478433987,0.00624890727701083,0.00689591398570638,4.90781367861475e-07,0.00252236500516184,0.00581944309127973,0.00812018450479767,0.0517324437959939,0.00245109442676714,0.00793153037188871,0.00521831923382884,0.00065829394858148,0.00245939674699384,0.00985120747815399,0.000963680526423932,0.00153466304802769,0.00358839203225831,0.00937870728042778,0.00164692025860951,0.0352052029359358,0.0120049564367346,0.00319193500635041,0.0402660217117816,0.0490492661535301,0.0528867715164444,0.00206002827620866,0.00154999871222548,0.0107805144912269,0.00646689413818806,0.00100624070909493,0.116718052594305,0.00116559636096069,0.0029206087790904,0.000979385815519054,0.0043252401477121,0.00204008613618805,0.0118184876829183,0.00148807579811217,0.00599226286812368,0.00871188252100689,0.00668920416925774,0.00531513842291613,0.00637040957248727,0.00329144414495763,0.007447163611337,0.0110733514991467,0.00496002793746346,0.0223240905785111,0.0017789553729486,0.0648144215879939,0.00417603711877915,0.0019132849110662,0.0058455490207088,0.000207224221877037,0.00618372536200166,0.00120495709170885,1.10941877252988e-05,4.45286952475616e-07,0.00229300193621419,0.0116568414348062,0.00187936569158081,0.000393517240477065,0.00319842249240067,0.00137985452749834,0.000836467548354437,0.0019888681357991,0.00837064276996249,0.0206162242870556,0.00948369415067811,0.0137522380204145,0.00289563700606423,0.0744445722832567,0.00487414643410574,0.00163656423603764,0.0208323055876691,0.00335246696521688,0.00422281745436294,0.158556970686692,0.0220666784607322
"Cancer associated fibroblast",0.0561562097588684,0.117723035761545,0.0611208716396342,0.0805251158420923,0.0377451674688564,0.0406663209531505,0.124564965291372,0.239780164685021,0.0533273585283022,0.0312085710125662,0.0353659902892329,0.0905677612912124,0.103887098158161,0.382559198869469,0.0169154642441011,0.0353961167106474,0.165340842606485,0.144724874366326,0.2017224640241,0.51926960425186,0.171067175771995,0.0119169892106157,0.0687176300569944,0.0334349860771919,0.387582871749121,0.17549632370973,0.0558370809091357,0.232440998577686,0.16264964707255,0.0843943134791583,0.113856605311244,0.0785300576805091,0.0691114783778974,0.116150735757582,0.58747972364341,0.0448040622876103,0.0380333930302267,0.106575726020957,0.0811991717662387,0.159933661004045,0.168931520677444,0.0377018223817504,0.335291041506356,0.144911377607063,0.0984395537601664,0.0256411933556282,0.0748513127574949,0.0733049864363367,0.136812646045293,0.0217241641268646,0.262803781869143,0.0797873037584488,0.223350058461745,0.0444230989346392,0.0571456020836295,0.557322641324869,0.019455363504102,0.0805512627747055,0.0233622903863992,0.0226693581955911,0.0285447769384832,0.099390238853163,0.010712664122194,0.0850043755007705,0.103830968952904,0.0595508693687612,0.0371370028324903,0.0313335461704544,0.201944084198484,0.057452745354223,0.0859654641634661,0.04286517174049,0.0204946787881583,0.31404860674024,0.0323064305398744,0.0867755860650657,0.0418889822191564,0.0498818768434926,0.145554783015806,0.140501612027484,0.0130310465653855,0.0982676792812205,0.0370315101453567,0.235231672457096,0.14918109795335,0.128363182216859,0.0390649095348038,0.00296538676331324,0.0677962600132839,0.0051147985588449,0.111707588701963,0.150492933052824,0.025347170704119,0.0414016333693542,0.0357311305480873,0.0844313231577085
"T cell CD4+",0.185380942745744,0.0879518474907985,0.0550878151987694,0.0514414427136693,0.127765234339216,0.024173090817037,0.0363342634251775,0.035515109872435,0.125183068544078,0.0950856857951136,0.0633619278055822,0.0445177195011293,0.0464155685128831,0.0452897180378916,0.0652535133993135,0.0462187282047921,0.0555692306318359,0.0352777879948697,0.0403761598429321,0.0721592816665833,0.0457643882466954,0.0566376442331977,0.0667784819577131,0.0545846501940574,0.0991597787597993,0.0297676224563622,0.0821419889733259,0.0432571040963967,0.011411357625569,0.0455299558247672,0.0430079800060151,0.0173723672552318,0.0440061624441751,0.0596058036967696,0.0799195574627942,0.0687817307258828,0.0576953860790105,0.0767947149542293,0.0242335018522066,0.032649675973677,0.0246028398399638,0.0387988592189801,0.0477036096612444,0.0479412672811299,0.02280393102286,0.0234215011459523,0.0446260417652799,0.062509909669991,0.0334902957317625,0.0201652762326811,0.0328504591682735,0.0942380284146016,0.0335185475527883,0.0867532573707856,0.0414591307879636,0.071005770820224,0.0642137880324345,0.0591509080163839,0.103818544929595,0.0300059116613741,0.0519600450749655,0.0540631196258522,0.0314478417486187,0.0403295128751755,0.0577542118635336,0.0654469929433675,0.0902340092279552,0.0791765154662194,0.076891422283133,0.0359407784229053,0.0247254165244842,0.046988004405969,0.0855117770174514,0.0532322607425517,0.0132284353223845,0.0420047039267963,0.0292857752798685,0.0447836418335037,0.0465059290533733,0.0387405027966713,0.0608120320099855,0.00861789970842335,0.038431670133216,0.03238426491211,0.0473184059475093,0.0781287250143991,0.0692137784691579,0.0626040585486323,0.105642890794148,0.0974397015058285,0.0653398139431034,0.0716904747090905,0.0442281300166968,0.0225214552578473,0.131735545822849,0.0553889084540629
"T cell CD8+",0.0332983007978807,0.0152277369775389,0.0255601851565726,0.0258670900326111,0.0355994255339547,2.70297113513947e-08,0.0201199245498043,0.0482862270645412,0.0433937922682301,0.0389802853691031,0.0311116015283088,5.16445298570898e-07,0.0254092959492561,0.0256328730452101,0.0168929764202182,0.0236557490471808,0.00494530391615549,0.0424583982156164,0.027732868885858,0.0122561551073671,0.0251135116726841,0.0165676681598586,0.0243044480617701,0.0451512662526265,0.0114421865412087,0.0182542162573667,0.0315152060894598,0.0218069845545419,4.30343462948639e-07,0.018929529952357,0.0333724040526635,0.011026576545843,0.0176787734613415,0.0264641192858057,0.0333230272529174,0.0214188932708428,0.0467162209157169,0.0159931939365239,0.020932100605129,0.0225079200479938,0.0316243465858293,0.0402180543732928,0.0199890239439657,0.0117009456994231,0.0294341334492329,0.0226014858236998,0.0245120895375122,0.0729108318948264,0.0237799517411823,0.0141381139930319,0.00440587769775136,0.0296256055051946,0.00158980024195863,0.0286680549494572,0.0401656123815297,0.000521696921015617,0.0160613710207886,0.0269103335305082,0.0322330265232798,0.0138876993312862,0.0232998755921006,0.0143912668729228,0.0318462616687064,0.017802520854164,0.0206441377890013,0.0254775520356711,0.0238428888575785,0.0365642103762361,0.0102019400425391,0.0168491510066537,0.0311742304404131,0.019338477339848,0.0292958372732133,0.0109756687395729,0.0740780017012802,0.0116245013468946,0.0446492369390275,0.00617774329975435,0.0200241532932642,0.0161434189834538,0.0192863614761011,0.0108047583084529,0.0825413850342227,0.00399611497078096,0.0499424006278012,0.0470519473787009,0.00333508675361398,0.0205531856034348,0.0275906986287025,0.00104547268794534,0.0151360067353184,0.0515508541329197,0.0146694006960156,0.0137121544354196,0.0233887513080693,0.0254959498592437
"Endothelial cell",0.025914316771897,0.0251189410077659,0.0159831127012183,0.045268962796304,0.0272238587114919,0.0287606323090207,0.0482461302445199,0.0748978036590128,0.0241282162562133,0.139014611660844,0.101877476626921,0.0357990562615099,0.0148539907301966,0.0326301274010275,0.00988512854035874,0.0398397184827153,0.021232381078033,0.0654752638171651,0.0368902285079794,0.0814889071541903,0.020493658276955,0.0266903493175711,0.0832073872023933,0.0230294043873232,0.0919435353661607,0.0127819433726153,0.0875394334624806,0.0428319491003056,0.0308503956712478,0.0193559628532418,0.0210977636493069,0.0321691123102209,0.0289338121241454,0.0596450087381687,0.087833401629602,0.0252385414221103,0.0411570321394553,0.111482699119807,0.0146331932264434,0.00832488593660885,0.017703973473274,0.0323030120502369,0.0187461033759592,0.0224239754305358,0.0334015859415656,0.0174040604703122,0.035931203689766,0.0394355317910166,0.0117570914834172,0.0084437208205646,0.0142526811099248,0.0217932741320933,0.0228517208068658,0.0322397670679433,0.0550894110462252,0.0557996243828103,0.0110993237195309,0.0583376553711818,0.0291925754502246,0.0127904658365064,0.0343971772245829,0.0700722622306858,0.0218119733254835,0.0201649644011657,0.047072859812338,0.0231439025058933,0.0336591087042468,0.0355155404561502,0.0469460858562389,0.0186881342273775,0.0576864367624144,0.038674907002462,0.0201070471619698,0.0999979401291529,0.0645332065489058,0.0358035609046734,0.0267019567892881,0.00792285314293645,0.0236951082339241,0.0307019147362449,0.0176056219895725,0.0325896942001537,0.0156135109394046,0.0195093773952983,0.142951978998627,0.067634976152391,0.017414213827152,0.0148842890473453,0.114211556437721,0.019358041203921,0.00678993799264453,0.119717138089798,0.0263065242377732,0.0188668173415602,0.0267966245992696,0.0144173186322634
"Macrophage",0.0220181740760843,0.00523444062715911,0.0138963437871989,0.0298255057070021,0.00404010102778428,0.0242055861343578,0.0118902149364088,0.0121282751083983,0.0100542934862361,0.00684720868392212,0.008230283948814,0.0998944537294451,0.00835271294673547,0.00984354057024036,0.0019535232770182,0.00409760985712497,0.017527743723238,0.0197191515373483,0.0102817387347908,0.0185461677060828,0.00875734180366259,0.00742270472552285,0.00481703632126163,0.0208284206208194,0.0307865486740186,0.0146251721060182,0.0150254803885207,0.010851024112335,0.0160381160350825,0.0032820286612017,0.00757191409815361,0.012317562471446,0.00396949226935991,0.00440236886505851,0.0818034384384069,0.00571817855906432,0.0222929397835816,0.0101833616276184,0.0148011912986432,0.035116191614631,0.0150946058378698,0.0111136075098629,0.00795332921752783,0.0110297678129618,0.0146488867192465,0.0074742504844449,0.0461533744093405,0.0211062207458222,0.0103464531319116,0.00581127318052204,0.0177468953232088,0.0147110907756322,0.00863725080470885,0.0194416121617328,0.00898045948835471,0.010400224814799,0.00257741980223282,0.0167919604346126,0.00443474577032361,0.00654929097278656,0.00986151460618131,0.00563556779762419,0.02323795565974,0.0140901990797592,0.0179138203484756,0.0280140712559636,0.0139395002024312,0.0130112316016114,0.0101361303027279,0.0187127406654385,0.0546006290397377,0.00728988784130391,0.00907972984752009,0.00618317343102268,0.00427623956091877,0.00648741698643846,0.0140953645624146,0.00589451551346836,0.0106143261096282,0.0115760433662953,0.00786838719409866,0.0152504975310022,0.0207089613019848,0.00430750513712076,0.015348850792483,0.028852323613273,0.0164994770708057,0.00529352341968535,0.00785570643101727,0.0417309608322291,0.0126884349276309,0.0201168185203544,0.00061428406064771,0.00392895055977176,0.0217515623730645,0.022441831610241
"NK cell",1.09876309131831e-08,1.80073141920533e-09,0.00288829939183307,0.00384672484786931,8.5623152131097e-12,0.000300469825478434,3.31267632912446e-08,0.000176228724865259,5.29712975031562e-10,0.00211122269752923,0.000496728031130956,0.0040306877969352,9.34294544948433e-10,0.000467230268945077,5.16251507194819e-10,1.57904097992222e-09,4.49261663348895e-09,1.86329231618238e-08,4.24952239207609e-07,0.00436231749582363,5.39821041236034e-08,2.00033394528112e-09,0.000275691830664581,1.47437128515013e-08,0.00236127969243336,7.84768927293262e-09,0.0120889607056956,0.000297774222209784,0.000139642773846921,7.99230795173832e-10,0.000102633574085621,9.13361690706236e-10,5.92507403914488e-10,4.22038351287581e-09,0.00207175150712493,8.60929701427365e-10,0.00586399498357518,4.21221821778723e-10,6.68831107685899e-08,0.00195154245463274,1.83271548903981e-07,2.48495160847323e-09,0.000333371219049176,1.2621932726442e-08,1.58137071983312e-08,0.000131768819858308,0.000362775396468186,0.00419720631981316,1.72307986079972e-08,2.4043874387237e-09,0.00114125828378814,1.37106712830847e-09,8.06099745529951e-07,4.9751672256323e-07,9.27674309287931e-08,1.1073651655347e-07,1.68082000263946e-09,6.96947622015014e-08,7.977808159438e-09,4.52046199629737e-05,0.00870353092825771,0.00100317075679307,0.000354352487739467,1.65527602417351e-09,5.44174537146871e-09,4.01141778032188e-08,3.04382424991915e-09,2.69579528478909e-11,3.48642563923584e-08,2.67457678306028e-05,0.000235810893099369,3.56545886400107e-08,3.03757046669486e-10,6.33933571739225e-07,0.00087135457722347,5.16654209186489e-10,1.55038558356612e-08,3.6945866080786e-09,3.71732160998327e-08,3.81113801113425e-09,2.95787767055993e-09,0.00116047358449541,1.58250440874234e-08,2.1823425309692e-08,0.00546357237521142,5.54034969357582e-08,0.00204219803288178,8.32950712300187e-11,1.85718626638278e-09,0.00276499294030861,8.28209368538657e-09,2.99224578969574e-08,4.23871461850713e-10,4.10478639741867e-10,3.85862692105415e-08,2.94597104340578e-07
"uncharacterized cell",0.663720134967008,0.739348288818912,0.810843782503886,0.74974117737586,0.767106651440316,0.880612731285762,0.755955581555055,0.584304267613565,0.734053986747086,0.677446189475955,0.737337668232348,0.721780279563347,0.799456759619962,0.502165599767651,0.887143963656737,0.84701440294309,0.729795044119216,0.689883960651411,0.67674720777509,0.285021652632386,0.728803379464536,0.878242277347738,0.746079881477923,0.814851073219471,0.324991355421265,0.746623619823451,0.707920319099493,0.643295846102696,0.778252116529659,0.826048811683049,0.771139491830377,0.847620642296964,0.834765617682546,0.730143567403974,0.118190392785317,0.83239167261495,0.753035830132498,0.666965347482908,0.841008839361878,0.69925010125663,0.69299326416054,0.786977870464481,0.567923492799689,0.760442654834728,0.790491378801995,0.896858845761916,0.772556961735043,0.609817260547889,0.782647948274674,0.926796840462858,0.665819660732391,0.75551945589525,0.708011729896,0.776655224315801,0.795671615646754,0.298957668131642,0.877880849719084,0.751568606008588,0.801643670539453,0.907681659810005,0.839941635490471,0.747997210251622,0.869515599488371,0.817648397696226,0.730459905213491,0.796587616403217,0.73637306554348,0.800222918783591,0.651967017541555,0.846484155534862,0.745404787954508,0.838659790653337,0.834305972516221,0.515550622096163,0.81070588646246,0.815011228317263,0.831721827271583,0.883459999980677,0.753212145880311,0.759138081786312,0.880016693279481,0.832472529837898,0.803684078484972,0.696200400534206,0.569177469017962,0.640485096070202,0.83867809829117,0.89080391952823,0.602458313554684,0.827671885836817,0.786701645181209,0.565599445984886,0.885482022895659,0.895346171171205,0.602039376075699,0.775757695228644
