"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"B cell",0.158761623667803,0.0253267327186527,0.0570205056453186,0.0682465290438871,0,0.000588331031787384,1.61040627347672e-18,1.1581327119811e-18,0.0261136218715885,4.44542597774044e-18,0,0.0165254668133653,0,0,0.00799484590214447,0,0.0298202195404692,4.0549675058455e-19,0,0.00859115299342678,0.0054816093140693,0,5.29982991129859e-18,4.68468981180802e-20,0.28644606164696,2.98903340342179e-20,0,4.60394825859852e-18,0,1.84524560012299e-18,0.0373820743542509,0,0,0,0.133889658427484,0.0159937243680344,0.203722724934477,0,0.0126267317490251,0.104290170666517,0.13414207904419,0.236370489214537,9.04331817969216e-19,0,0.0320732891403755,0.0204081503276599,1.39287373131711e-19,0.48720600872297,1.7383549814984e-19,0.00789977980336357,0.0165976668794601,3.22075692876926e-20,0.00542490988858089,0.0596257024126659,2.38340788713349e-18,5.48104699100236e-21,0.0124762466491706,1.24336521453656e-22,0.0247492883733386,0.0450626893580438,0.00784915931084652,0,0.054471311961941,0.0140514787656356,0.174056684898446,0.0128714621285129,0.269134365165187,0.00387315426576061,0.00732471086836376,0,0,0.0075112883815276,2.17387608772256e-19,0,0,1.06970103759565e-18,0.0662282059903189,9.83873305112303e-20,0.0146271534565485,0,0,0,0.0149743336808131,0.0353215259651868,0,2.22426660498631e-20,0.017028995929225,0.00036547544218083,0.288629693045113,0.00729833506501946,1.16860857956583e-18,0.0603780827275146,5.18063871284336e-05,7.24295107136087e-18,0.838693384965444,0.10524447132351
"T cell CD4+",0.0160832315680133,1.67155744838093e-18,0.0041713124036035,2.40929432052199e-18,8.41297306500701e-19,0.0252604753738267,0,5.99219359266732e-18,3.7291762720173e-18,6.41064049799581e-18,6.22534101855456e-18,1.56768999380831e-18,0.00363515867863332,0,6.43522984808442e-18,0,0.000629815609320679,0,6.59712983799781e-18,1.50746388841451e-19,0,1.91127147360994e-18,0,0,1.4461359768581e-18,0,0,7.65952690579337e-18,0,0,0,0,2.29844728335206e-18,3.63886945932867e-18,8.56926088786598e-19,5.52946741133504e-18,8.12445565793791e-18,1.19998456855678e-17,1.44436609158409e-18,0.00714929739124797,0.0131751270930367,1.32136263354354e-17,2.30139476550102e-18,5.04487670186541e-18,0,1.39690451051163e-18,1.4892390212106e-17,0,9.93566016201192e-21,0.00625265350343295,0,3.55196276777417e-18,3.70653082152345e-19,0.0231622356527182,8.12592441419231e-18,9.904613715113e-18,0,7.31626988802173e-18,0,0,1.12590041873718e-17,1.68916742337024e-18,0,3.68116900385295e-18,4.89276205720279e-18,1.60351955294982e-18,0,0.00355542866059132,2.55804466340737e-18,0,1.10231724614668e-18,1.00839654636414e-18,0.00526730053870999,7.7201593004157e-18,3.37875421388936e-17,0,2.3226785379308e-19,4.28031465830497e-18,1.60705976035558e-19,2.24463698057418e-18,1.34968409371477e-18,0.0143501922782369,2.13248419386126e-18,2.06414728459413e-18,4.79104629209386e-18,5.1741680959716e-19,0.00035990887431259,0,0,0,1.63454210495472e-17,0,2.07729751420696e-18,4.33210461543674e-18,0.0667308368675634,6.74436128136668e-18
"T cell CD8+",0.0694883784026883,3.34490327858409e-20,0.018151120865261,0.00686121615240976,0.0315650842542831,6.93878718035667e-19,0,0.0386524828149807,0.104854921977204,0.00208633504010557,0.0061521859136596,1.65562008246007e-18,4.25305446817987e-19,0.0154283842945866,1.1840594774249e-18,0.00229519947201378,3.21830621507543e-19,0,5.1041060969147e-18,0.0350447865032414,0.00217430950818298,0,1.56555443901936e-18,0.0330770238660776,0.0577004971504784,3.73021716505277e-19,0.0158748188641607,5.16729348940452e-18,4.05216640263832e-20,0,0.0982076257075076,4.22381902563956e-18,0,2.24196453537526e-18,0.144542181048653,0.0105944987590092,0.0775299856455877,8.36599894860478e-20,8.27242471822014e-19,0.00521677577485434,0.0297217045168567,0.0486542819620553,0,0,0.0225363006202489,1.07250145419911e-20,0.00123490175973393,0.153445626573059,5.57136689268614e-18,0.00207557570217875,0.00306725115754468,0,0,0.0539690335867819,0.000624406832541628,0.00634222275724559,0,0.0171989235462295,0.0219025148340139,0,0.0207339996696289,0,0.0462170525015004,0,0,0,0.00354019797971338,0.0184694913728185,0,0,0,1.60816774947235e-19,0.0108046070524674,0.00777238296119779,0,1.55858490206296e-18,0.0634908583015626,0,0.0008292261540007,0,0,0,0.0419759469781457,0.00815123448618557,0.0991270656974824,0.109231709758252,0,4.03237627546169e-19,0.0622064882798138,1.56291662585541e-20,0,0.0568808649537435,5.99775731896276e-19,0,0.0485245184175608,0.0348923071129325
"T cell",0.11771568914153,0.0833998861248536,0.0696930004897537,0.0653210204344122,0.0634467064465628,0.0260719331775111,0.071602116489019,0.0426573217582955,0.143493505674183,0.0122612691573715,0.0623016629682277,0.113750875461157,0.00363515867863332,0.0154283842945866,0.0540087928754099,0.05412820992758,0.106390276257599,0.0440414661105845,0.0187594897436739,0.0568838953643868,0.0428976151934775,0.0390578752137301,4.05991825585414e-18,0.0700795714995747,0.0788397239735687,0.00434950458022705,0.023731349568647,0.0191788253158527,0.0457936814590205,3.5956548525314e-20,0.124892065542014,0.0548338902698346,0.0238966484006899,0.00367988117360441,0.181643581085597,0.0570880315869893,0.116072590027122,0.0345462263765357,0.0363116735523926,0.0915126676602639,0.0645039760737076,0.0506466568389234,3.27741748974997e-18,0.0436587843304022,0.0258471510414258,0.0928651593553786,0.0425498635870091,0.218495954727111,0.0094998822835138,0.057612430423228,0.0551954546137667,0.0598579640783123,0.0125777403423764,0.20052695453424,0.000624406832541636,0.0458311591169185,0.0409575613336423,0.0558116940727169,0.0446775597054461,6.42504701180472e-20,0.0523044753488392,0.0941748652863945,0.0673206874826975,0.0555286563713281,0.121929568413992,0.0055239445975596,0.0672733213414467,0.0429462671608842,0.0545295417809493,4.75909796624698e-19,2.18559868566165e-18,0.043568033958976,0.0530222505822559,0.0614639606057202,0.0281925704397608,0.0399003953103182,0.0685566910439981,0.0828435969256008,0.0286408429913457,0.0931482243210357,0.0363131987213506,0.12044524206017,0.0911948999995472,0.0634470639615338,0.13624332682079,0.156486686038635,0.128944881556746,0.0540596732157765,0.184327574176682,0.0354605723024795,0.0074898674382462,0.15457766183847,0.017457610061778,0.0237640418720282,0.191531880423047,0.0631787421275383
"NK cell",0,0,0,5.72121281116446e-18,0,1.15269327131669e-17,7.68595177594262e-18,0,1.18525173476236e-17,0,4.25038634673072e-19,2.98417293079129e-18,0,4.30680888833447e-18,0,6.76434486359141e-18,7.31975100111004e-19,4.65760969049312e-18,5.52607765843016e-18,0,0,0,0,9.71988788521639e-18,2.59316784644983e-18,5.08959384046767e-18,0,0,6.879156755229e-18,0,0,0,2.36838784117829e-17,1.29984753594837e-17,0,2.14256368137616e-17,0,0,1.14478699709329e-18,9.86727169451938e-18,0,0,4.91435922831231e-19,1.89705544553458e-17,0,3.35748738246282e-18,1.21282331557566e-17,0,3.02053464432106e-18,6.73529156265786e-19,0,4.69089497909835e-19,2.70941646984203e-18,0,3.45661399193978e-18,0,1.99166743953828e-18,7.76293792345824e-19,2.6513152711163e-18,1.51732278264869e-18,2.36087037647915e-18,0,9.22883681268148e-19,4.69340148582548e-18,2.39355370235695e-17,6.29102215922495e-18,0,9.69516786731327e-19,5.57941698078339e-18,2.84041210543165e-17,3.75242114674332e-18,1.79118076590309e-18,0,1.69753874364505e-17,0,0,0,1.78384181483331e-17,8.05795401356951e-18,0,0,2.59074951785033e-17,2.2688675028886e-17,1.71712875773441e-18,3.63696509901805e-18,0,6.06817773167887e-18,1.52036045626114e-17,0,0,1.48903166326905e-17,0,5.71690389324856e-18,1.23065035711293e-18,0,0
"Macrophage",0.139498142897329,0.0279223182755559,0.104107273870793,0.118902467335869,0.0207252129550044,0.0248122888729692,0.0729695643209407,0.0587248505657856,0.0415460535232474,0.00161244956251763,0.0411611387855941,0.144311320189659,0.0326724861531101,0.0619691911549919,0.0122616393449637,0.0101704034138331,0.0804384453960635,0.0847460324432608,0.0725193552807938,0.0507636600079692,0.0744516210138975,0.0592882965514869,0.0144114879868742,0.0804740937513683,0.193872350303195,0.0855375398012087,0.0844205164968727,0.0618109061939509,0.0388710590527533,0.024472766954904,0.0418731592420347,0.0588205043373834,0.013971595111546,0.0217328456647432,0.306555341959672,0.024230927168614,0.0975807268734133,0.0240485177086948,0.0905861189726306,0.106717182388276,0.0743856201109717,0.0679929677251074,0.078658437174943,0.0483652838511497,0.0898357746126256,0.0337624501824223,0.154178501453939,0.12663264539708,0.135291930058741,0.0506775071709002,0.0715152770247499,0.0608988654934454,0.0859399039094306,0.107536194271786,0.0458041697796233,0.0298334054053907,0.03231949279682,0.0710481498080792,0.0304661500873136,0.0552871476502512,0.0687514831637062,0.0421436601741618,0.105000395206663,0.092479283665236,0.0941530622723252,0.143278676716083,0.0816326296293436,0.0882751713614196,0.0176864201974715,0.103373637063785,0.305931510881751,0.0377384210746777,0.0139321311097755,0.0217846833230766,0.0191206839821547,0.0295651328229915,0.0965047066068747,0.041405597499516,0.0551670238086175,0.042018117626477,0.0702887574413607,0.0698700226623131,0.114392156551338,0.0196599497780762,0.0717715573476891,0.110004869337822,0.117665986961399,0.0384395601897448,0.0439726347400141,0.0103207054330234,0.0329856970446912,0.0901433984758568,1.19264777194036e-18,0.0372260648991517,0.088440439704696,0.148155489650544
"Neutrophil",0.00170395435358135,0,0,8.8104596087326e-20,2.28382494240122e-18,0.0217684743571701,0.000470022864462476,0,1.91465201872162e-19,0.0227840906723043,0.00320939168556128,1.1864106315208e-20,0.00136280625913251,0,0,0,0,0,2.83833568025384e-22,9.1065116677022e-19,2.53043999082602e-19,0.00513711407872912,0,1.58160485827951e-20,0.00947405997056955,0,2.62310644537332e-18,0.00354747878853937,0,0.000287696378388819,0,0.00373796176706653,0.00856372210330248,2.29230537355156e-18,9.07456332068572e-20,1.20916677114264e-19,0,0,1.17615503197876e-18,0,0,0,0,0,0,0,0.00689037592425965,1.7399954935064e-18,0.00322978312512691,6.40655695896627e-20,0,0,0,1.75700366220596e-18,0.00340862933535522,0,0.000990568076522279,0,0.0106732766597968,3.08612178472154e-19,0.00207153470172471,0,6.02337910849104e-19,0,0,0,6.51710582720598e-19,0,0,3.33822615891553e-19,0,0,0.0170240647446457,0,5.93938840170796e-21,0.000810149481054571,0,1.19677262039535e-19,0,1.95225577210261e-20,0,2.82185984880604e-20,2.01410921019354e-20,0,0.000386347899490639,2.35364290827373e-20,3.37923855048143e-19,3.04407407366914e-19,5.71757815754368e-19,0.137716759140988,0,8.03959019339198e-19,9.83271900925066e-19,0,0,7.85132760867376e-19
"Myeloid dendritic cell",0.0143054178746748,0.00329653600855679,0.00795118139871587,0.037542604270171,0.0245296051795997,0.0237586766707512,0.003738575021457,0.00157398519482912,0.036760571508547,0.0132898990543837,0.0354937234227831,0.00357309927152064,0.00324441709833321,0.00789905723477642,0,0.0019890509234725,0.00363614989879859,0.0440210616451828,0.0014370890482641,0.00766012891507677,0,0.0114283276524704,1.209372106661e-19,0.0135339463624736,0.0211475078933778,0.0022256600165555,0.00624193483037357,0.00117526264257673,0.00480168242586938,0.000833600078156076,0.0334387310821637,0.00936650627970697,9.62607812858444e-22,1.14992457837728e-05,0.104117176548424,0.00436995939670244,0.0153236442218659,0.0106950701324085,0.00163328411455165,0.0142737676007827,0.0326049334826573,0.020946768517126,0.00150034916732506,0,0.00619197589300133,0.00221982678545059,0.0473354639001372,0.0546907147946562,0.00333897894357006,0.00951936973233825,0.00100958676818771,0.0140924033582448,0.00404740483873966,0.0739529291875827,0.0134301549976577,0.0125726895417455,0.00281592623161509,0.0122874846071656,0.0131373296293853,0.0151505141794845,0.00624832281907339,0.00916074635318806,0.00706736033465457,0.0148421378793106,0.0124545298608141,0.0145184309409007,0.0274122263711971,0,0.0131527237350018,0.00969030638341646,0.00884120891717057,0.0164715147068356,0.00570514460513914,0.00475855096287003,0.00424473747885421,0,0.00441100167852334,4.20655345893064e-22,0.0113363949598004,0.00167721087359286,1.36654597352143e-18,0.00620313012661979,0.00335871713481213,0.00411720310634477,0.0685125073209549,0.0160276012017625,0.0256470855982961,0,0.039772257780247,0.0119830057064839,8.79875970169587e-19,0.0422286167378108,0,4.38291389402051e-20,0.0183091798371627,0.0208372546045516
