"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"B cell",0.106500574928643,0.297915227491962,0.623984867513009,0.183711874888538,0.409152998845398,0.241802320900852,0.0979418425313037,0.592620703606605,0.59949385693673,0.342771615584373,0.680152201250934,0.180328257559116,0.106822054677825,0.161673743970648,0.0964726515672019,0.127892873576048,0.0965591669233155,0.0728846057996154,0.295917430508462,1.52128792629748,0.574371871297016,0.266878058202496,1.20317499244169,0.560888260458262,0.200162145812705,0.0832775657472429,0.233187130880158,0.428147599968696,0.295989295285854,1.73876171585923,0.170937509773371,0.120003409373669,0.383654439017622,0.276638180128458,0.139983150358282,0.155820958147046,0.164511519092319,1.1430518954858,0.497788460314973,0.310325108236782,0.253257436716219,0.324351318749446,0.178868682808449,0.17071197011377,0.844474907025725,0.744473988180051,0.136749887716391,0.495435354795386,0.307983395624822,0.0704091903114447,1.70769382028056,0.933532025389649,0.484885856172923,0.284199649743195,0.858751731499894,1.21630601057438,0.237162716236225,0.421960543903903,0.808964541774909,0.123584939209239,0.428148385345076,0.27854073708391,0.334224909703766,0.113305064377593,0.103315510554181,0.82057608525045,0.508936968016997,0.355373880828266,0.313052556008008,0.343526015739233,0.234502303089601,0.184783397048508,0.15663613917747,0.241246455685096,0.215434124162861,0.151979134190901,0.171758907113405,0.126042767116976,0.252965271674766,0.12952667804821,0.220421805769828,0.448183832073869,0.321678404027905,0.100293117731227,0.10100314682171,0.683325487861614
"T cell CD4+",0.058760149746019,0.333140734761994,0.604343102902383,0.37257519671864,0.564325819899804,0.167709557158387,0.166081076253355,0.338114632666654,0.320503425008441,0.440656252390867,0.401661006479165,0.211023173123697,0.251118305163133,0.138409160043235,0.218996532590991,0.177286174323973,0.144997760871776,0.0900624018443259,0.172621668120809,1.32778115894276,0.301868257176781,0.374985011991442,0.814866577517224,0.305831993884369,0.199463594054328,0.177724698723586,0.245220424844133,1.03891279339959,0.241750280954927,0.850446160291921,0.204750640222916,0.156229909391227,0.516178489437367,0.469606010407633,0.754212569394452,0.264612127254836,0.277771705366325,1.28421202122503,0.342370629208567,0.371868799702871,0.371188718820381,0.112837636281567,0.132318041936417,0.395959132250215,0.400255146269377,0.726653092230146,0.171595109773397,0.304859720876361,0.135504068643144,0.202326634265101,1.35846555366194,0.295292797110412,0.148724067446258,0.32954714687893,0.589677063689165,0.705025987170218,0.199275119369767,0.571165781014101,0.50398300640771,0.176083981288877,0.329078044850886,0.187730022113578,0.299176074956638,0.215909399322023,0.144536531066854,0.601709109055214,0.641840648744322,0.480247985204948,0.133552312191421,0.407324015214218,0.471265229224021,0.21013228453354,0.193374184267602,0.233739752842431,0.129237682523418,0.137425255216022,0.216616713311344,0.148541214299432,0.419884332419794,0.297050761747085,0.236621261872964,0.405228039718214,0.291290940412941,0.399351735255321,0.30286876812425,0.431293358202737
"T cell CD8+",0.0093451961139477,0.080852416247589,0.177103034794807,0.123734224924451,0.297277614828356,0.0166672956603383,0.0330260486995621,0.180788079006337,0.0740599064212983,0.158925814752572,0.0585900983392837,0.0373893858844823,0,0.196627584966305,0.0286845444668529,0.0200333905645242,0.0160977232782171,0.0059105601746839,0.0413829628582345,0.440270200816311,0.0506012074873819,0.204200667593035,0.605541016167027,0.0828446802144591,0.125648502831057,0.052398492255231,0.0843603643018732,0.0033787142611936,0.0615697474880437,0.212510849472633,0,0.0189188640532493,0.0906136738771364,0.290555874783898,0.260068729000145,0.101002745174022,0.0995039463251121,0.995038133331338,0.158092508146328,0.0285206483328036,0.172835043074126,0.0535196451063287,0.0233154876842794,0,0.161786969903433,0.181889990860912,0.0705493007180779,0.126062418590694,0.09367233768031,0.0348430435961525,0.249002773624677,0.126744932745997,0.169304935597243,0.031520229263233,0.202038020000944,0.309748194717113,0.0436806515773637,0.150632616162522,0.304537044730819,0.0304474338133516,0.0500406012102921,0.0680697833686424,0.132165290719932,0.0363638031265055,0.0019020263042055,0.166081171620202,0.29269148134486,0.0600416483554689,0.036313108105936,0.0497554413365764,0.0913091808152944,0.0674119891873049,0.0122565183130855,0.226787066048172,0.0234414995363036,0.0448847919827037,0,0.0315503816338059,0,0.279441499931818,0.18497047048333,0.142872903603782,0.0511012014003348,0.0037803715094784,0.0002807585244481,0.44679939445209
"T cell",0.0778887999608457,0.466908175441265,0.78144613769719,0.496309421643091,0.86160343472816,0.184376852818725,0.199107124952918,0.518902711672991,0.394563331429739,0.599582067143439,0.460251104818448,0.252817637910696,0.251118305163133,0.343777797569715,0.247681077057844,0.213039873991116,0.169294213014755,0.106940150250631,0.214004630979043,1.76805135975907,0.352469464664163,0.579185679584477,1.42040759368425,0.388676674098829,0.325112096885385,0.230123190978817,0.329580789146007,1.04229150766078,0.303320028442971,1.06295700976455,0.204750640222916,0.177092624813191,0.606792163314503,0.760161885191531,1.01947174949518,0.365614872428858,0.377275651691437,2.27925015455637,0.500463137354895,0.400389448035674,0.544023761894507,0.166357281387896,0.156012967414294,0.395959132250215,0.56204211617281,0.908543083091058,0.242144410491475,0.430922139467055,0.267870386951157,0.237169677861253,1.60746832728662,0.422037729856409,0.318029003043501,0.361067376142163,0.791715083690109,1.01477418188733,0.243969567467907,0.721798397176623,0.824971064709911,0.206531415102228,0.379118646061178,0.265547853678235,0.43134136567657,0.269141335396272,0.14643855737106,0.767790280675416,0.934532130089182,0.540289633560417,0.169865420297357,0.457079456550795,0.562574410039315,0.277544273720845,0.205630702580687,0.460526818890603,0.160725193215457,0.182310047198726,0.216616713311344,0.180091595933238,0.419884332419794,0.576492261678903,0.421591732356294,0.548100943321996,0.342392141813276,0.432236519542553,0.303149526648698,0.878092752654827
"NK cell",0.0246671280516139,0.118540138833194,0.132244391169441,0.157374290660671,0.163838129023823,0.0304304684591918,0.0446021627648716,0.0794630807345805,0.0678574263890722,0.266599544719172,0.117280021116976,0.0233283427433626,0.051051873422346,0.0433092375466127,0.0460764380873788,0.0430500525338783,0.0571742253746061,0.0272985968104073,0.0349636362103449,0.241826974764147,0.0165898645637594,0.0991264200410604,0.254399349824952,0.0626811542196615,0.0812277939408856,0.119379972060611,0.0490610144745237,0.375018591363365,0.0159820963108119,0.16959758684945,0.133689689578287,0.0267371084075367,0.176031626632219,0.197136476780729,0.145129924756141,0.16301765782749,0.0942396488471528,0.575659340814083,0.0075287738488964,0.0477827784824192,0.0722912574090444,0.0135880955241821,0.0376988201946524,0.0920121249596568,0.0688184645709512,0.0713113384675495,0.0319199822172841,0.0573555281900906,0.111621649109913,0.0676732848345125,0.0991185520043743,0.0006518429777576,0.027879591749298,0.0346461674488353,0.237570652880208,0.195497634594416,0.024209815654236,0.104251309515171,0.0173916868176942,0.0925391740009009,0.144460339409109,0.0360979269862115,0.0516523044536032,0.0270449613570308,0.0358361429228786,0.103580250611159,0.370536576800577,0.0631426849292907,0.0561986879040716,0.0454455496154821,0.0126364295415006,0.0339070985845039,0.122242007541609,0.0734394284247757,0.0256324594768072,0.0393817306235343,0.0732620839100407,0.0534993147391211,0.121903674928301,0.104755344283098,0.068423546315504,0.0849838257229175,0.0604908179052481,0.0544127515622035,0.0751707065029672,0.19731578691591
"Macrophage",0.38694767565698,0.453410419078209,0.491903621383433,0.461633523481717,0.454400508845924,0.464889847601442,0.369589222873707,0.552711898889952,0.456905883408522,0.52915339881144,0.277435315031073,1.06483287117511,0.398362896380054,0.82919297005174,0.580230399014441,0.658633542198512,0.374865960175458,0.208971551179327,0.281067835717233,0.889484385854302,0.441759739299407,0.411296571226975,1.12335861996813,0.262397638079472,0.308244314994638,0.347478485533796,0.717272168167263,1.30617049175451,0.191859065375951,0.760063327423516,0.17879505926421,0.421279753113321,0.654585430020588,0.43259811178049,1.34737372929518,0.398057385061333,0.52420052828682,0.921200369840544,0.326199347886871,0.672740193869446,0.535647581637795,0.231906057598549,0.556909223976757,0.268740181802746,0.734775488764483,0.401167015056707,0.240150004542049,0.244376929326509,0.660169132832503,0.274973348462943,1.87182465501627,0.517282251041175,0.34193395570479,0.191836960522831,1.10934978081945,1.31868196025213,0.514984302646616,0.277562521254169,0.702066689690313,0.212789734622707,0.709254538921872,0.445353752720271,1.23546816400338,0.331372017575796,0.10349190437136,0.746560164292744,0.795713143288722,0.273240177616158,0.571390698220353,0.449595844134611,0.516944390281699,0.134050802245792,0.44165059084279,0.395131359093105,0.431551826080371,0.505808298064147,0.658953531067194,0.208123818392158,0.503148296498167,0.356989376873633,0.293620384008181,0.578594829716859,0.399128152177838,0.338055875712263,0.383604693322542,0.786820012748848
"Neutrophil",0,0.0157998504843172,0,0.0193373356866167,0,0.0119179360516097,0.0191221066083228,0.002667493627508,0,0,0,0.0235118407513214,0,0,0,0.0077908212392123,0,0.0055237303766861,0,0.0554035150402742,0.0145207394949911,0.0007994432314029,0,0.0114280054088918,0,0.0115252090474765,0,0,0.0026648896307267,0.0129659923866517,0.0052024032436431,0.0028160110404471,0,0.0247674095106885,0.0396328662271547,0,0.0207054035970208,0,0.0573362783207132,0.0205050411161414,0,0,0,0.0367788944789095,0,0,0.0067906897943356,0.0106637034857952,0.0180738201896917,0.0084692040079647,0,0,0,0,0.0067955017695134,0.045023081385748,0.031924048084202,0.0197369625082638,0.0012299460644902,0,0.0132720974576544,0.0022567862654436,0.0179411467588373,0.0092788791071174,0.0096874619460526,0,0,0.0060918497830582,0.0005312757998224,0,0,0.0048697213208101,0,0,0.005915212681894,0.0030694685309325,0.0014441183990926,0.0028143822128066,0.0251601639791244,0,0.0047624513191776,0.0111428794208708,0.0022851819779083,0.0050741611506092,0.0014579342723089,0
"Myeloid dendritic cell",0.005725972911162,0.137132162734792,0.0365987078730608,0.136222557381555,0.0693252116011985,0.0074692158220436,0.0080679332447831,0.007066149911671,0.0687145769882856,0.0392028562008558,0.122242537365558,0.0178677726411731,0.126416797963559,0,0.0914620717304651,0.0218348252090623,0.0298372521620711,0.0089630197921811,0,0.138380989320778,0.0535591142672976,0.161795394180128,0.132345037401857,0.0149511699231569,0.0071682161828049,0.0378142118531788,0.0651467059971651,0.219766796293236,0.0045017624719039,0.0625819873130865,0.0202623259707476,0.0079678643840092,0.0190563672976632,0.0459167190275097,0.0240318993956894,0.0554210148819908,0.0912711523064121,0.0612311629080955,0.159012989671147,0.0346510428789918,0.0426694336256795,0.0031836601473283,0.0163950131620861,0.0611079958593325,0,0.0463168483221832,0.0227257276573008,0.0145957559212869,0.0190929873301589,0.0435601890661276,0,0.0062236185808185,0.0148703176272568,0.0686676598841789,0.071682882107439,0.105273919813694,0.0210451060728447,0.0953571714958042,0.0832463499562207,0.0334757942331229,0.012776091748789,0.0196815148316357,0.0072537084012947,0.11304400292639,0.0260076082152555,0,0.113139134088066,0.043650490033166,0.0219664306688544,0.0797774070969374,0.0058675481358828,0.109814203441907,0.0237750619944762,0.044463052021857,0.0201983875959073,0.0626844361639012,0,0.0232599906096392,0.0725499916852346,0.0970535999323366,0.0404794809311945,0.0190381893442555,0.0394868176697736,0.0181250379630476,0.156774136016684,0.126190210075652
