"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"B cell",0,4.40800725102916e-20,0.0642837642582308,0.0501685768078227,0.102616455521183,0.0330990325738872,0.0175983501931653,2.69043359156449e-19,0.0263059998274505,0.0496232502525039,0.147129059183372,0.0151162186596851,0.0343222460680022,0.0282355292733892,0.00397542162923956,0.00329272616094909,0.009296536038298,0.0168939732868368,0,0.106133560666275,0.0588193691708565,0.00289754254843389,0.295185355356761,0.0139959373663746,3.17032498707655e-18,0,0.0540028750187475,0.130014871589577,0.0102799402507275,0.218628569343621,0.00784075395666923,0,0.0551359217173288,0.0931324929710926,0.0446388733566317,0.00593475304385138,0.063641099640897,0.4266558932503,0.0135973964965499,0.00113763906232389,0,0,0.0319400113458422,0.0322536595862147,0.0777838351917726,0.265937591853312,0.000106704482284444,0.0217764400864748,0.019915590151458,2.24959490562928e-19,0.112559184488886,0.00251773315899798,0.0030230350085571,0.0526927798762599,0.0366443518497013,0.0421676484144518,0.00974455609614147,1.08607349787732e-20,0.0576112336465074,3.77673430043943e-20,0.0337817202489665,0,0,0.0196288433762111,0.0539500750692764,0.194218340363089,0.132252841806911,0.0489643049962358,0,2.49220563543264e-18,0.0662020064330224,0,2.05958284886239e-19,0,0,0.0269600785726812,0.0235405276797091,5.31181473709665e-19,0.0687802490694595,0.0393812624850671,0.000513706591418263,0.00925371128679962,0,0,0.0142655841054391,0.104536379321491
"T cell CD4+",1.68481569987548e-18,0,0,0,6.96295218266112e-19,0.00270353347926239,1.14161450313565e-17,0.0232713244083815,0.00176298435142952,0.0125161205186834,0.000759154860366353,5.18638664230548e-18,1.56351953982031e-18,0,0.0343372401695517,4.90384058927836e-18,0.000210659394939741,5.97103642043033e-18,5.74919384754371e-18,0.0597877333612649,1.37878567311099e-17,0.000513411541455237,8.03438574397382e-18,0,5.61608042133832e-18,1.12592924871291e-17,4.54375970781999e-18,0.0105868683413699,1.65636311777401e-17,0,2.80836914876155e-18,3.48254380517968e-18,0.0173471711544708,0.00476414015187546,2.09768851411337e-18,9.59933793441526e-18,1.21907985925136e-18,0.0131980424650524,2.98768155213579e-19,4.178301261816e-18,0,5.23846835475599e-18,0.0154209396745033,0.0166636502938664,2.07013052625362e-18,3.06740588886154e-18,0.000684576405719527,5.12529280661103e-18,0.0188804007288892,0,7.4294239108602e-18,2.0101696806425e-18,5.22310018787432e-18,6.38484395171244e-18,4.4967043676443e-18,2.38791205582704e-19,0,6.36075398369276e-18,0.0616916389459095,0.00600108819741231,3.78743187435185e-18,0,0.0153196493103819,0,0.0325748166870097,0.00320253443580951,0.0124703606999304,1.97235441274942e-19,1.87286602289641e-17,0.00801322436130446,0,0,0.000829461678003868,0.021109212596516,0.0142094795774372,0.00171118516426853,0.027270683215504,3.16008163698354e-18,1.01528235940296e-17,1.63315959958827e-18,7.33982217096298e-19,3.06203199018212e-18,2.2632679410216e-18,3.94419791436593e-18,0.0110588672748297,4.04607509905395e-18
"T cell CD8+",0,0.0106116129553891,3.13258674826026e-18,0.00735750234953324,0.0296503911431588,0,2.72203471988143e-18,0.0590349992589269,0.0221924659593807,0.0529421408800169,4.78850999329844e-18,0,1.53032080483561e-19,2.24047291859513e-18,0,2.34715315265134e-21,6.6721916064266e-18,0,3.34752510102177e-18,0.0358529110355554,0,1.19692189234448e-18,0.0798911897358829,3.01999988117841e-19,0.00374935176414154,0,0,0.00924804239988702,1.90546462542603e-18,0.0399182903779096,0,6.49634641855853e-18,0.0116731868967503,0.0366074601510735,0.0312746811816875,0.00175382580647608,0.00651140871189522,0.28191798875525,0,0,0,3.15089831782517e-19,2.08783334587343e-18,0,3.98692755297429e-20,0.0479137780507725,0.0126923802476826,3.72127766088709e-18,3.94241458512694e-18,1.19724544568724e-18,0.101818997221219,0.0111199760666908,3.84100128985839e-18,8.88745321229598e-18,1.50826112620756e-17,0.00455297745524183,0,2.05582532076488e-19,0.0150760311600705,6.22431499144168e-18,7.05455272921514e-18,6.86276045011794e-19,0.0279049977063074,1.64772894625969e-18,0,0.0255360030475067,0.0422040266056661,0.0118887038422035,3.51053879310882e-19,1.83954909816035e-18,0.0504445387782462,0.00911356542687657,4.82993548385722e-18,3.75506485432216e-20,0,5.88532188866871e-18,2.16277545041559e-20,5.744722778915e-18,2.70699171762154e-18,0.0254694382710567,0.00390387424721894,5.68057682982793e-19,1.16017897224127e-19,0,0,0.0347409022449974
"T cell",0.0881310933242854,0.0795287218366206,0.0639629381530205,0.253162483176151,0.039474933318511,0.110402616137993,0.0932803675087862,0.190974147823387,0.0469790522269656,0.0685641775131683,0.124305554123549,1.02059122708474e-17,0.0717922764403506,0.341026038913297,0.127045517717045,0.145260938731135,0.0238333445956623,0.000938056450738162,0.0774449295826309,0.0956406443968203,0.0694434460779973,0.112010941062962,0.152928405235784,0.0243311340696475,0.0813994874008654,0.111581825967607,0.0536178403539695,0.218656337942001,0.0798271952788881,0.0578299707292424,0.153054386465567,0.00305450311967466,0.131247109301992,0.0786249259797218,0.22325560423694,0.18393662605629,0.10174883732123,0.39766848632996,0.0513640560861288,0.00640186435790263,0.116589661301787,0.124510093861823,0.127290555219876,0.0541380577862516,0.0897637434791923,0.175038886369632,0.0929328122303339,0.0488934825525275,0.0337405519579581,0.0459623579189479,0.19338895842902,0.0310898704126829,0.178527695226761,0.0466466349274924,0.0477258823306752,0.0567717233847199,0.0799325832542078,0.0634464093510946,0.142997214761056,0.0444306067664827,0.0982105720392132,0.193807983688678,0.0788322178064848,0.0877875073362316,0.0325748166870097,0.150148270252303,0.0638611948874728,0.122926044064958,0.0862780059722438,0.0511752018954088,0.162562308617501,0.00911356542687657,0.0549978485966343,0.0500452215792629,0.05333485163392,0.0786271753338819,0.0408291782739948,0.189632015174858,0.162786136733501,0.0403616742855811,0.0808158362696503,0.108482916904568,0.0755671991544613,0.172942857434011,0.0851782252580171,0.0347409022449974
"NK cell",0,0,4.58353812199411e-17,0,0,2.64745188145663e-17,1.80118099979723e-18,4.72818921854023e-19,0,8.03731685823238e-18,1.29447778965227e-18,3.4195343482021e-19,0,1.49521287604345e-18,1.00182728748938e-17,3.72616722198948e-18,0,2.47522508305058e-19,1.188934178021e-19,1.08338003594984e-18,0,5.68778874260592e-19,1.05916891029494e-19,2.07279664093081e-17,0,2.00619605352821e-17,2.42526785256337e-18,1.12075883629949e-17,3.83829892910671e-17,0,1.97750322607328e-17,4.87776732210947e-17,1.2697437542152e-17,1.63562557382255e-17,0.00403669998960866,5.22539618599178e-19,1.10736880655685e-19,0.0167699500567248,3.88394524096588e-18,1.02136847162094e-17,0,3.54728353320227e-18,1.24692942751449e-17,0,8.0375481479889e-20,1.16454929686993e-18,1.58495605310712e-17,3.01865923172658e-17,1.89523800344161e-17,9.75967956105278e-19,0,0,0,4.65702510752866e-19,2.938812962726e-17,5.58130445363107e-18,2.0919249665976e-18,0,9.14189618735697e-18,2.57491276250854e-17,7.10631690717476e-18,0,0,0,1.7497505167703e-17,6.26195550971889e-18,0,1.87338294243944e-18,9.86135423657715e-19,0,2.14077723299558e-18,0,0,9.64430674334258e-18,1.1145352478622e-17,1.22686138466409e-18,7.14954658848705e-19,2.15261947538332e-17,5.33971313327612e-17,9.03773179900147e-18,0,0,5.88992267473275e-19,0,0,5.14818987075842e-18
"Macrophage",1.81996033087053e-05,0.00895701038592869,0,0.0186393610079121,0.0460521675680977,0.0343712861893155,0.0353281195009619,0.0257286343665928,0.00874734656526625,0.0708478641639609,1.20509569938063e-18,0.0251673980715623,0.016833422284513,0.000640488625075195,0.0177491985536223,0.0621367606697168,0.015226182544672,0,0,0.0504752160728888,0.00074351051692595,0.00274161860574751,0.0682135184237974,0.0034156743917185,0.0189616513103345,2.03056649927019e-19,0.0432644282628642,0.0561360411887762,0.000508712410411293,0.0202239545369002,0,0.00716643697764541,0.0340847868164685,0.0266816395244806,0.129076990282727,3.0036250129452e-19,0.0967637950174178,0.0258552828063206,0.00739991996984737,0.0430017954094811,0.000446172099809382,0.0185263569021719,0.0378646870991322,0.0147845620217712,0.0161803739445271,1.70983312645268e-19,0.00114966857196711,1.18618419710535e-19,0.0319481229352305,0.0024950341034771,0.0332137158890255,0.0114126668446406,0.00843611344846482,0.00985874517723703,0.0436898770684368,0.0444791654802918,0.0366552072370624,4.83891301574777e-19,0.0443876242094493,0.00730005209551746,0.0147231494180571,5.10355363548693e-19,0.0516720555937222,0.00212372564497342,3.01013254585986e-19,0.0138904394610154,0.0412133197837077,0.0194590173406851,0,0.000802624950772871,0.0256949511416356,0.0272585759325601,0.00223021057577487,0.0154437596563359,2.24736520119443e-18,0.0234082295520213,0.0262977781836803,0.00559863527626684,0.0428259856496219,0.00513229885156557,0.00361822376533383,0.00906252483868576,0.0126445340477833,0.0174804319121319,0.0268939249155397,0.0443544937601828
"Neutrophil",0,0,0,1.26524475797078e-19,0,0,1.72537566254338e-19,0,0.000622487819565832,0.000216189033132818,0,0,0,0,5.49524975702244e-19,0,0,0,1.92614102918142e-18,1.02191973215923e-19,0.000704361454009988,0.000212691783555553,0,5.4961106107965e-19,3.30894912407382e-19,3.90839523910745e-19,1.9777596379856e-19,0,2.40690743359993e-18,1.69888100122264e-18,0,0,0,0,7.75146436346414e-19,7.36437110699825e-19,0.000541078216514027,0,0.00240540467569501,1.01424147551371e-19,5.26249253609636e-19,0,2.25802229558541e-19,3.69888359269028e-20,0,3.52827067716801e-19,3.08905197463341e-21,0,0,0.0035412052534707,0.00139419158811577,0,1.43768492890979e-22,0.000126030136113178,0,2.32052597778942e-19,0.00219470846229327,0,0,2.02644393114276e-20,0,2.23381919737793e-20,0,2.40204127158378e-19,3.08265072257788e-22,0,9.47892172368305e-19,2.60297460643434e-19,0,0,4.33862103867026e-19,1.24640772982044e-18,0.0012589434749722,0,0,1.38024370374358e-19,6.28582667321801e-21,0.00187921375769729,6.89114805552864e-19,0,1.5005458658872e-19,0.000544457344038839,0,0,0,1.10279293315088e-18
"Myeloid dendritic cell",5.99609257257452e-19,0.000258813663089004,0,0.000347915577449196,0.00243876965312472,4.31675944144217e-19,6.14956490154506e-19,0.0100679957079281,2.47699968820564e-20,0.0036751351604734,0.00564143545756276,0,0.00177980969711347,2.30822177049748e-20,2.10156219073727e-19,0,0.00867085269088816,0,6.15746325337758e-21,0.00364282418667708,8.01527544982238e-19,0.00437843710484281,0.0064637130253691,3.99208053647235e-20,2.83058047746397e-19,6.18281133196991e-19,0,0.00459577675830982,0.00027445890557714,3.53628047110788e-20,0.0225626819687666,4.85116475179551e-20,0,3.71805421097873e-05,0.00772348419849631,4.85854899689456e-20,0.0161024111970944,0.00986766882565954,0,0,1.64821454022526e-06,0,0,0.000523186973663076,8.03148702354141e-21,0.0014921683914474,8.05073698493751e-19,5.22901210094764e-20,8.99395074455296e-19,0,0.012508528039028,0,2.16639477220748e-18,0.00270799590791726,0.00121251677116443,0.00457783883356001,1.5205003943094e-18,3.74149556379751e-19,0.00272901227981139,0,4.30736509050067e-19,4.88354436978599e-19,0.00952883494897948,3.42298187689537e-19,0,0.009293517578966,0,0.00109853442670086,0,0,0,0.0173065911774178,9.5588262015119e-05,2.03757472616783e-18,0.0179515033514242,0,1.30763614676083e-18,0,6.48026829816003e-20,0,0,0.0022523511627531,3.37999132271199e-19,0.00538645359017624,0.0117226053690995,0.0138303318236094
