Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000131269	ABC7	EST140535	ABCB7
ENSG00000131269	ABC7	Atm1p	ABCB7
ENSG00000131269	ABC7	ASAT	ABCB7
ENSG00000197150		EST328128	ABCB8
ENSG00000197150		M-ABC1	ABCB8
ENSG00000197150		MABC1	ABCB8
ENSG00000197150		MITOSUR	ABCB8
ENSG00000150967		EST122234	ABCB9
ENSG00000135776		EST20237	ABCB10
ENSG00000135776		M-ABC2	ABCB10
ENSG00000135776		MTABC2	ABCB10
ENSG00000274099	ABCB10P	M-ABC2	ABCB10P1
ENSG00000274099	ABCB10P2	M-ABC2	ABCB10P1
ENSG00000274099	ABCB10P	MABC2	ABCB10P1
ENSG00000274099	ABCB10P2	MABC2	ABCB10P1
ENSG00000261524			ABCB10P3
ENSG00000260053			ABCB10P4
ENSG00000073734	BSEP	ABC16	ABCB11
ENSG00000073734	PFIC2	ABC16	ABCB11
ENSG00000073734	BSEP	SPGP	ABCB11
ENSG00000073734	PFIC2	SPGP	ABCB11
ENSG00000073734	BSEP	PFIC-2	ABCB11
ENSG00000073734	PFIC2	PFIC-2	ABCB11
ENSG00000073734	BSEP	PGY4	ABCB11
ENSG00000073734	PFIC2	PGY4	ABCB11
ENSG00000103222	MRP	GS-X	ABCC1
ENSG00000103222	MRP1	GS-X	ABCC1
ENSG00000023839	CMOAT	DJS	ABCC2
ENSG00000023839	CMOAT	MRP2	ABCC2
ENSG00000023839	CMOAT	cMRP	ABCC2
ENSG00000108846		MRP3	ABCC3
ENSG00000108846		cMOAT2	ABCC3
ENSG00000108846		EST90757	ABCC3
ENSG00000108846		MLP2	ABCC3
ENSG00000108846		MOAT-D	ABCC3
ENSG00000125257		MRP4	ABCC4
ENSG00000125257		EST170205	ABCC4
ENSG00000125257		MOAT-B	ABCC4
ENSG00000125257		MOATB	ABCC4
ENSG00000114770		MRP5	ABCC5
ENSG00000114770		SMRP	ABCC5
ENSG00000114770		EST277145	ABCC5
ENSG00000114770		MOAT-C	ABCC5
ENSG00000223882			ABCC5-AS1
ENSG00000091262	ARA	MRP6	ABCC6
ENSG00000091262	PXE	MRP6	ABCC6
ENSG00000091262	ARA	EST349056	ABCC6
ENSG00000091262	PXE	EST349056	ABCC6
ENSG00000091262	ARA	MLP1	ABCC6
ENSG00000091262	PXE	MLP1	ABCC6
ENSG00000091262	ARA	URG7	ABCC6
ENSG00000091262	PXE	URG7	ABCC6
ENSG00000256340			ABCC6P1
ENSG00000255277			ABCC6P2
ENSG00000006071	SUR	HI	ABCC8
ENSG00000006071	HRINS	HI	ABCC8
ENSG00000006071	SUR	PHHI	ABCC8
ENSG00000006071	HRINS	PHHI	ABCC8
ENSG00000006071	SUR	SUR1	ABCC8
ENSG00000006071	HRINS	SUR1	ABCC8
ENSG00000006071	SUR	MRP8	ABCC8
ENSG00000006071	HRINS	MRP8	ABCC8
ENSG00000006071	SUR	ABC36	ABCC8
ENSG00000006071	HRINS	ABC36	ABCC8
ENSG00000006071	SUR	HHF1	ABCC8
ENSG00000006071	HRINS	HHF1	ABCC8
ENSG00000006071	SUR	TNDM2	ABCC8
ENSG00000006071	HRINS	TNDM2	ABCC8
